row_number,source_kind,source_path,source_row_number,subject,AI Verdict,AI Confidence,AI Phishing Score (0-10),AI Identified Brands,Key Suspicious Elements Cited by AI,AI Explanation,official_status,official_error,official_returncode
1,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_002301_002320/chunk_input.csv,1,Email Quota,MALICIOUS,90.0,8,,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF check failed for domain None | DKIM check failed for domain None | Urgency in body text | Link domain 'inverbrujasltda.cl' differs from mentioned brand | VT Error for link 'http://inverbrujasltda.cl/rof/wp.html',"The email exhibits multiple suspicious indicators: it lacks standard headers ('Date' and 'Message-ID'), fails SPF and DKIM authentication checks, and contains a suspicious link with an unknown VT status. The email body uses urgent language to prompt immediate action, a common phishing tactic. The link domain 'inverbrujasltda.cl' does not match any known brand and appears unrelated to email quota management, raising concerns of potential phishing.",Analysis completed successfully,,0
2,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_002301_002320/chunk_input.csv,2,Cheque Account Statement 180328,SUSPICIOUS,65.0,3,Absa,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF check not found | DKIM check not found,"The email lacks standard headers such as 'Date' and 'Message-ID', which is unusual and raises suspicion. Additionally, SPF and DKIM authentication checks were not found, indicating potential issues with email authenticity. The body mentions 'Absa' as the brand, but no links or attachments were found to confirm impersonation or malicious intent. The absence of attachments and links reduces the immediate risk, but the lack of authentication and standard headers makes the email suspicious.",Analysis completed successfully,,0
3,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_002301_002320/chunk_input.csv,3,[clamav-virusdb] Update (daily: 5753),CLEAN,95.0,0,ClamAV,Missing 'Date' header | Missing 'Message-ID' header | SPF not_found | DKIM not_found,"The email appears to be a legitimate ClamAV database update notification. There are no suspicious links, attachments, or urgent language. The absence of SPF and DKIM records is notable but not inherently malicious, especially given the context of a technical update email. The DMARC policy is correctly configured for the domain. Missing 'Date' and 'Message-ID' headers are unusual but do not indicate phishing in this context.",Analysis completed successfully,,0
4,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_002301_002320/chunk_input.csv,4,Today's Sports Headlines,CLEAN,95.0,1,,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF not_found | DKIM not_found,"The email appears to be clean with no clear indicators of phishing. The subject and body content are consistent with a sports news update. No suspicious links, attachments, or urgent language were found. Missing standard headers like 'Date' and 'Message-ID' are noted but not inherently malicious. Authentication checks (SPF, DKIM) were not found, but DMARC policy is present and set to reject, which is a positive sign.",Analysis completed successfully,,0
5,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_002301_002320/chunk_input.csv,5,What's Cool And New In Home And Kitchen,CLEAN,80.0,2,Forbes,SPF check not found | DKIM check not found | Missing 'Date' header | Missing 'Message-ID' header,"The email lacks phishing indicators such as suspicious links, attachments, or urgent language. While SPF and DKIM checks are missing, the DMARC policy is set to reject, which adds some security. The absence of standard headers like 'Date' and 'Message-ID' is unusual but not definitively malicious. The content appears to be a legitimate promotional email from Forbes.",Analysis completed successfully,,0
6,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_002301_002320/chunk_input.csv,6,Give a Special Gift this Valentine's Day,SUSPICIOUS,65.0,3,National Wildlife Federation,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF check failed | DKIM check failed | Link domain 'bluehornet.com' differs from mentioned brand 'National Wildlife Federation',"The email lacks standard headers ('Date' and 'Message-ID') and fails SPF and DKIM authentication checks, which raises suspicion. The links provided could not be verified due to a VirusTotal API error, but the domain 'bluehornet.com' does not directly match the National Wildlife Federation brand mentioned in the body. The email content promotes a discounted offer, which could be a tactic to lure recipients into clicking links. However, no malicious attachments or overtly dangerous elements were detected.",Analysis completed successfully,,0
7,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_002301_002320/chunk_input.csv,7,keep up with all that’s NEW,CLEAN,80.0,2,REVOLVE,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF check not found | DKIM check not found,"The email lacks standard headers like 'Date' and 'Message-ID', and SPF/DKIM checks were not found, which is unusual but not definitively malicious. The body content appears to be promotional material for a fashion brand, with no urgent language, poor grammar, or suspicious links. No attachments were present, and DMARC policy is set to reject, which adds a layer of security. Overall, the email does not exhibit strong phishing indicators.",Analysis completed successfully,,0
8,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_002301_002320/chunk_input.csv,8,Welcome to the Star's This Week in Politics newsletter,CLEAN,80.0,2,,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF check not found | DKIM check not found,"The email lacks standard headers like 'Date' and 'Message-ID', and SPF/DKIM checks were not found, which raises minor concerns. However, the DMARC policy is set to reject, which is a positive sign. The body text does not contain any suspicious links, urgent language, or grammatical errors. No attachments were found, and there is no evidence of brand impersonation or typosquatting.",Analysis completed successfully,,0
9,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_002301_002320/chunk_input.csv,9,Verify ownership of your account now,SUSPICIOUS,80.0,7,,"Urgency in body text ('verify and update within 24 hours') | Poor grammar ('will loose their account') | Missing standard headers ('Date', 'Message-ID') | SPF check failed | DKIM check failed | Missing 'Reply-To' field","The email exhibits multiple suspicious elements, including urgency in the body text ('verify and update within 24 hours'), poor grammar ('will loose their account'), and missing standard headers ('Date', 'Message-ID'). Additionally, the SPF and DKIM authentication checks failed, and the DMARC policy is set to reject, which raises concerns about the email's legitimacy. The absence of a 'Reply-To' field further adds to the suspicion.",Analysis completed successfully,,0
10,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_002301_002320/chunk_input.csv,10,Q: What's hot + cool?,CLEAN,95.0,1,,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF: not_found | DKIM: not_found,"The email appears to be a legitimate marketing message with no clear signs of phishing. The absence of SPF and DKIM records is noted, but the DMARC policy is set to reject, which adds a layer of security. The email content is consistent with promotional material, and there are no suspicious links, attachments, or urgent language. Missing standard headers like 'Date' and 'Message-ID' are unusual but not definitive indicators of phishing in this context.",Analysis completed successfully,,0
