row_number,source_path,source_row_number,dataset_name,subject,label,data_source,content_length,overall_is_valid,invalid_scanner_count,flagged_scanners,malicious_urls_is_valid,malicious_urls_risk_score,ban_substrings_is_valid,ban_substrings_risk_score,sensitive_is_valid,sensitive_risk_score
1,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_000101_000200/chunk_input.csv,1,llm_guard_000101_000200_chunk_input,Wollten Sie schon immer Ihre Lieblings-Casinospiele von zu Hause aus spielen?,1,phishing_pot,10616,False,2,malicious_urls | sensitive,False,0.3,True,-1.0,False,0.7
2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_000101_000200/chunk_input.csv,2,llm_guard_000101_000200_chunk_input,Assistance with Medical Data Leak,0,tobiasbuek,299,True,0,,True,-1.0,True,-1.0,True,-1.0
3,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_000101_000200/chunk_input.csv,3,llm_guard_000101_000200_chunk_input,Customer Support Ticket,0,tobiasbuek,674,True,0,,True,-1.0,True,-1.0,True,-1.0
4,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_000101_000200/chunk_input.csv,4,llm_guard_000101_000200_chunk_input,You have one (1) order pending delivery : Verpassen Sie keine Lieferung mehr ��� Handeln Sie jetzt!,1,phishing_pot,778,False,1,malicious_urls,False,0.2,True,-1.0,True,-1.0
5,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_000101_000200/chunk_input.csv,5,llm_guard_000101_000200_chunk_input,National Association of F.C.U Internet Departament Antifraud!,1,phishyai-phishing,65,True,0,,True,-1.0,True,-1.0,True,-1.0
6,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_000101_000200/chunk_input.csv,6,llm_guard_000101_000200_chunk_input,Urgent Security Notification!,1,phishyai-phishing,35,True,0,,True,-1.0,True,-1.0,True,-1.0
7,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_000101_000200/chunk_input.csv,7,llm_guard_000101_000200_chunk_input,View Your New Benefit Amount Using Your my Social Security Account,1,nazario,6113,True,0,,True,-1.0,True,-1.0,True,-1.0
8,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_000101_000200/chunk_input.csv,8,llm_guard_000101_000200_chunk_input,Suggestion for API Monitoring Dashboard,0,rtweera,444,False,1,sensitive,True,-1.0,True,-1.0,False,0.9
9,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_000101_000200/chunk_input.csv,9,llm_guard_000101_000200_chunk_input,Account suspension notice 12/09/2020 03:36:33 am,1,phishpuzzer,4854,True,0,,True,-1.0,True,-1.0,True,-1.0
10,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_000101_000200/chunk_input.csv,10,llm_guard_000101_000200_chunk_input,"100 % BIS ZU ���4,000 + 300 FREISPIELEN",1,phishing_pot,10542,False,2,malicious_urls | sensitive,False,0.3,True,-1.0,False,0.3
11,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_000101_000200/chunk_input.csv,11,llm_guard_000101_000200_chunk_input,Erna,1,phishing_pot,123,False,1,sensitive,True,-0.7,True,-1.0,False,1.0
12,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s4-gd_detector_suite_n4rg3gvy/llm_guard_000101_000200/chunk_input.csv,12,llm_guard_000101_000200_chunk_input,Ontmoet charmante Oekraïense singles – gratis aanmelden,1,phishing_pot,1057,False,1,sensitive,True,-0.7,True,-1.0,False,1.0
