group_label,feature_a,feature_b,cell_slug,rank,word,log_ratio_score,weighted_group_count,weighted_background_count
HW-B-FP,Authority,Authority,authority__authority,1,submission-id,11.517226215548071,1933.0,0.0
HW-B-FP,Authority,Authority,authority__authority,2,spambayes,10.213809873076647,525.0,0.0
HW-B-FP,Authority,Authority,authority__authority,3,self,10.148891604536384,492.0,0.0
HW-B-FP,Authority,Authority,authority__authority,4,luxembourg,9.339509953921855,219.0,0.0
HW-B-FP,Authority,Authority,authority__authority,5,internetdefence,9.238710097517082,198.0,0.0
HW-B-FP,Authority,Authority,authority__authority,6,phishery,9.238710097517082,198.0,0.0
HW-B-FP,Authority,Authority,authority__authority,7,trojan,9.165382667005662,184.0,0.0
HW-B-FP,Authority,Authority,authority__authority,8,usr,9.126598791200443,177.0,0.0
HW-B-FP,Authority,Authority,authority__authority,9,msg,9.00670206063481,157.0,0.0
HW-B-FP,Authority,Authority,authority__authority,10,1.1,9.00670206063481,157.0,0.0
HW-B-FP,Authority,Authority,authority__authority,11,lockergnome,8.848306987079516,134.0,0.0
HW-B-FP,Authority,Authority,authority__authority,12,def,8.78675383192898,126.0,0.0
HW-B-FP,Authority,Authority,authority__authority,13,plugin,8.712651964278246,117.0,0.0
HW-B-FP,Authority,Authority,authority__authority,14,dave,8.641832184187646,109.0,0.0
HW-B-FP,Authority,Authority,authority__authority,15,java,8.632616378477762,108.0,0.0
HW-B-FP,Authority,Liking,authority__liking,1,submission-id,11.210791740792272,875.577689,0.0
HW-B-FP,Authority,Liking,authority__liking,2,submission,10.745140995736044,549.61958,0.0
HW-B-FP,Authority,Liking,authority__liking,3,aetheros,9.909457694826528,238.29735772291411,0.0
HW-B-FP,Authority,Liking,authority__liking,4,internetdefence,9.724185970807307,197.99445599999999,0.0
HW-B-FP,Authority,Liking,authority__liking,5,phishery,9.724185970807307,197.99445599999999,0.0
HW-B-FP,Authority,Liking,authority__liking,6,lockergnome,9.693341300859519,191.98030300000002,0.0
HW-B-FP,Authority,Liking,authority__liking,7,mercury,9.413017537625063,145.04617806376498,0.0
HW-B-FP,Authority,Liking,authority__liking,8,iam,9.288720506669598,128.091647690622,0.0
HW-B-FP,Authority,Liking,authority__liking,9,eff,9.214868530412307,118.971985,0.0
HW-B-FP,Authority,Liking,authority__liking,10,import,9.18817429154909,115.83786899999996,0.0
HW-B-FP,Authority,Liking,authority__liking,11,unspun,9.145444384218095,110.99197000000001,0.0
HW-B-FP,Authority,Liking,authority__liking,12,oracle,9.106555909069296,106.75813000000001,0.0
HW-B-FP,Authority,Liking,authority__liking,13,airways,9.000316749182456,95.99692400000002,0.0
HW-B-FP,Authority,Liking,authority__liking,14,weka,9.000277584573556,95.99316400000001,0.0
HW-B-FP,Authority,Liking,authority__liking,15,comment,8.933951756563815,89.83224699999998,0.0
HW-B-FP,Authority,Reciprocity,authority__reciprocity,1,submission-id,12.460222855734525,2204.989092,0.0
HW-B-FP,Authority,Reciprocity,authority__reciprocity,2,luxembourg,10.455778622128896,297.08089700000005,0.0
HW-B-FP,Authority,Reciprocity,authority__reciprocity,3,trojan,10.349051300907153,267.00659800000005,0.0
