Subject,Body,label,data_source,text
���� Spray-X aufspr��hen und auf eine kraftvolle Erektion warten!,"<html><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""></head>
<body>
<div style=""background: #5f5c5c; padding-top: 1px;"">
<center>
<a style=""text-decoration: none;"" href=""http://31.57.102.135/t/4ukrqv12162JueWx768WbtD0aeH0vrkV0zycC4"">
<h2 style=""color: white;"">
<u>DIE Lösung für Eine Mega-Harte Erektion - <strong style=""color: #ffef00;""> Spray X</strong> Jetzt Entdecken!</u>
</h2>
<img style=""width: 90%;"" src=""//zupimages.net/up/25/11/fw5u.png"">
<img style=""width: 90%;"" src=""https://zupimages.net/up/25/11/fw5u.png"">
</a>
</center>
</div>
<hr>
<p>
<center>
Wenn Sie diese E-Mails nicht mehr erhalten möchten, können Sie sich <a href=""http://31.57.102.135/t/5ukrqv12162JueWx768WbtD0aeH0vrkV0zycC4"" style=""color:#666;text-decoration:none;"">hier abmelden</a>.
</center>

</p>
</body>

</html>",1,phishing_pot,"���� Spray-X aufspr��hen und auf eine kraftvolle Erektion warten!

<html><head>
<meta http-equiv=""Content-Type"" content=""text/html; charset=utf-8""></head>
<body>
<div style=""background: #5f5c5c; padding-top: 1px;"">
<center>
<a style=""text-decoration: none;"" href=""http://31.57.102.135/t/4ukrqv12162JueWx768WbtD0aeH0vrkV0zycC4"">
<h2 style=""color: white;"">
<u>DIE Lösung für Eine Mega-Harte Erektion - <strong style=""color: #ffef00;""> Spray X</strong> Jetzt Entdecken!</u>
</h2>
<img style=""width: 90%;"" src=""//zupimages.net/up/25/11/fw5u.png"">
<img style=""width: 90%;"" src=""https://zupimages.net/up/25/11/fw5u.png"">
</a>
</center>
</div>
<hr>
<p>
<center>
Wenn Sie diese E-Mails nicht mehr erhalten möchten, können Sie sich <a href=""http://31.57.102.135/t/5ukrqv12162JueWx768WbtD0aeH0vrkV0zycC4"" style=""color:#666;text-decoration:none;"">hier abmelden</a>.
</center>

</p>
</body>

</html>"
Approval needed: Extended terms,"Need approval for:

Customer: Company_980
Deal size: €485,271
Discount requested: 7%
Reason: Volume commitment

Please approve in system.

Franjo",0,uberjugaad,"Approval needed: Extended terms

Need approval for:

Customer: Company_980
Deal size: €485,271
Discount requested: 7%
Reason: Volume commitment

Please approve in system.

Franjo"
BB&T customer service: confirm your online account access! (mess_id: t42775149745430),"[, ]",1,phishyai-phishing,"BB&T customer service: confirm your online account access! (mess_id: t42775149745430)

[, ]"
Click to confirm your subscription,"To activate your subscription, please follow the link below. If you can't click it, please copy the entire link and paste it into your browser. If you do not click the link provided, you will not be subscribed to this mailing list. You can also unsubscribe at any time. Confirm Subscription Thank you! The Graphics Fairy LLC",1,phishpuzzer,"Click to confirm your subscription

To activate your subscription, please follow the link below. If you can't click it, please copy the entire link and paste it into your browser. If you do not click the link provided, you will not be subscribed to this mailing list. You can also unsubscribe at any time. Confirm Subscription Thank you! The Graphics Fairy LLC"
MoneyBookers.com:Money Received New Update',"moneybookers.com Payment details Amount: USD 386.56 ID: 23455643 Subject: You must use the link below to accept the payment. Note: Dear Sir/Madam, We are writing you this email in regards to your account with moneybookers. In accordance with our terms and conditions, article 3.2., we would like to kindly ask you to confirm your identity by doing the following: 1. Click the link below and update your account informations by filling the forms. 2. Send us copies of following documents: - personal identification document (identity card or driving license or international passport) - a proof of the address submitted with our system (bank account statement or utility bill) You can send those scanned to our email address service@moneybookers.com or faxed to +44 709 204 2001. With best regards, your moneybookers team Moneybookers Security Reminders Protect Your Password Moneybookers and its representatives will NEVER ask you to reveal your password. There are NO EXCEPTIONS to this policy. If anyone asks for your password by phone refuse and immediately report this to security@moneybookers.com.",1,phishyai-phishing,"MoneyBookers.com:Money Received New Update'

moneybookers.com Payment details Amount: USD 386.56 ID: 23455643 Subject: You must use the link below to accept the payment. Note: Dear Sir/Madam, We are writing you this email in regards to your account with moneybookers. In accordance with our terms and conditions, article 3.2., we would like to kindly ask you to confirm your identity by doing the following: 1. Click the link below and update your account informations by filling the forms. 2. Send us copies of following documents: - personal identification document (identity card or driving license or international passport) - a proof of the address submitted with our system (bank account statement or utility bill) You can send those scanned to our email address service@moneybookers.com or faxed to +44 709 204 2001. With best regards, your moneybookers team Moneybookers Security Reminders Protect Your Password Moneybookers and its representatives will NEVER ask you to reveal your password. There are NO EXCEPTIONS to this policy. If anyone asks for your password by phone refuse and immediately report this to security@moneybookers.com."
Slow Response Times Identified in Digital Tools,"Our marketing agency is encountering slow response times, which might be due to high traffic or software issues. We have already cleared caches and updated the software.",0,tobiasbuek,"Slow Response Times Identified in Digital Tools

Our marketing agency is encountering slow response times, which might be due to high traffic or software issues. We have already cleared caches and updated the software."
Request for Quotation,"Good Day,

We are pleased to invite you or your company to Bid for Our OPEN TENDER for
Possible Supply of the Product, requested product may fall out of your
scope of work. However, we would like you to source for the Product and
Supply them to us as we are urgently await for your Quotation

Product Unique Code: NBHFGTRU345546
Product: IPVBN - Peripheral Magnetic Drive Pumps NBHFGTRU345546
Qty. 39 pieces.
Deadline for the Submission: 08/03/2023

NOTE: send your quotation to:
Please we are looking forward to receive your best offer

Regards
Mike McDermott
Chief Global Supply Officer
PFIZER MANUFACTURING BELGIUM (NV)
Address: Rijksweg 12, 2870 Puurs-Sint-Amands, Belgium
B.T.W : BE 0400.778.165
Tel: +32 2808 2464
Fax: +32 2808 2477
Email:order@pfizerservice-nv.com",1,phishing_pot,"Request for Quotation

Good Day,

We are pleased to invite you or your company to Bid for Our OPEN TENDER for
Possible Supply of the Product, requested product may fall out of your
scope of work. However, we would like you to source for the Product and
Supply them to us as we are urgently await for your Quotation

Product Unique Code: NBHFGTRU345546
Product: IPVBN - Peripheral Magnetic Drive Pumps NBHFGTRU345546
Qty. 39 pieces.
Deadline for the Submission: 08/03/2023

NOTE: send your quotation to:
Please we are looking forward to receive your best offer

Regards
Mike McDermott
Chief Global Supply Officer
PFIZER MANUFACTURING BELGIUM (NV)
Address: Rijksweg 12, 2870 Puurs-Sint-Amands, Belgium
B.T.W : BE 0400.778.165
Tel: +32 2808 2464
Fax: +32 2808 2477
Email:order@pfizerservice-nv.com"
Approval needed: Extended terms,"Need approval for:

Customer: Company_560
Deal size: €239,822
Discount requested: 14%
Reason: Long-term contract

Please approve in system.

Matthew",0,uberjugaad,"Approval needed: Extended terms

Need approval for:

Customer: Company_560
Deal size: €239,822
Discount requested: 14%
Reason: Long-term contract

Please approve in system.

Matthew"
Status of Digital Campaigns,Noticing that recent digital campaigns have not boosted engagement as anticipated,0,tobiasbuek,"Status of Digital Campaigns

Noticing that recent digital campaigns have not boosted engagement as anticipated"
Comunicazione nr. 66472 del 23 Maggio 2007 - Leggere con attenzione!,"Gentile Cliente, nell'ambito di un progetto di verifica dei data anagrafici forniti durante la sottoscrizione dei servizi di Posteitaliane e stata riscontrata una incongruenza relativa ai dati anagrafici in oggetto da Lei forniti all momento della sottoscrizione contrattuale. L'inserimento dei dati alterati puo costituire motivo di interruzione del servizio secondo gli art. 135 e 137/c da Lei accettati al momento della sottoscrizione, oltre a costituire reato penalmente perseguibile secondo il C.P.P ar.415 del 2001 relativo alla legge contro il riciclaggio e la transparenza dei dati forniti in auto certificazione. Per ovviare al problema e necessaria la verifica e l'aggiornamento dei dati relativi all'anaagrafica dell'Intestatario dei servizi Postali. Effetuare l'aggiornamento dei dati cliccando sul seguente collegamento sicuro: Cordiali Saluti.",1,phishyai-phishing,"Comunicazione nr. 66472 del 23 Maggio 2007 - Leggere con attenzione!

Gentile Cliente, nell'ambito di un progetto di verifica dei data anagrafici forniti durante la sottoscrizione dei servizi di Posteitaliane e stata riscontrata una incongruenza relativa ai dati anagrafici in oggetto da Lei forniti all momento della sottoscrizione contrattuale. L'inserimento dei dati alterati puo costituire motivo di interruzione del servizio secondo gli art. 135 e 137/c da Lei accettati al momento della sottoscrizione, oltre a costituire reato penalmente perseguibile secondo il C.P.P ar.415 del 2001 relativo alla legge contro il riciclaggio e la transparenza dei dati forniti in auto certificazione. Per ovviare al problema e necessaria la verifica e l'aggiornamento dei dati relativi all'anaagrafica dell'Intestatario dei servizi Postali. Effetuare l'aggiornamento dei dati cliccando sul seguente collegamento sicuro: Cordiali Saluti."
