stage,hw_precision,hw_recall,hw_accuracy,hw_fpr,hw_fnr,hw_f0_5,hw_f1,hw_f2,hw_mcc,llm_precision,llm_recall,llm_accuracy,llm_fpr,llm_fnr,llm_f0_5,llm_f1,llm_f2,llm_mcc
S1,,,,,,,,,,0.39947437582128775,0.45170876671619614,0.6909839132061354,0.2285,0.5482912332838039,0.40893193435566316,0.42398884239888424,0.4401969302056183,0.2146829258263322
S2,,,,,,,,,,0.7012987012987013,0.1624874623871615,0.5468671679197995,0.06913827655310621,0.8375125376128385,0.4216553878188444,0.26384364820846906,0.19198862289642096,0.1458707124008942
S4,,,,,,,,,,0.9908286930887652,0.25762221086697323,0.492984693877551,0.005085361423901199,0.7423777891330268,0.6314185522250981,0.40892193308550184,0.3023730033385978,0.3084485969081162
S5,,,,,,,,,,,,,,,,,,
S6-MPG,,,,,,,,,,0.7880597014925373,0.1681528662420382,0.5639645345155162,0.044710327455919394,0.8318471337579618,0.4536082474226804,0.27716535433070866,0.19954648526077098,0.20042970060551032
S6-UTA,,,,,,,,,,0.6586538461538461,0.085625,0.520625,0.044375,0.914375,0.2816611842105263,0.1515486725663717,0.10366222760290557,0.08366262241371754
S6-fuzzer,,,,,,,,,,0.9345794392523364,0.09157509157509157,0.3842835130970724,0.013195098963242224,0.9084249084249084,0.32894736842105265,0.16680567139282734,0.11173184357541899,0.1481458098129256
S8-deepseek,,,,,,,,,,0.7142857142857143,0.09333333333333334,0.528,0.037333333333333336,0.9066666666666666,0.3064798598949212,0.1650943396226415,0.11297611362169141,0.11330843619007468
S8-llama,,,,,,,,,,0.7867298578199052,0.22133333333333333,0.580386924616411,0.06008010680907877,0.7786666666666666,0.520702634880803,0.34547346514047866,0.25848645281843663,0.2318359570492858
S8-ministral,,,,,,,,,,0.7378277153558053,0.13133333333333333,0.5423333333333333,0.04666666666666667,0.8686666666666667,0.3835669781931464,0.22297679683078664,0.15717249082495613,0.14867168870028094
