row_number,source_path,source_row_number,dataset_name,subject,label,data_source,prediction,probability,confidence,digit_count,domain_age,domain_length,email_length,has_attachment,html_tags,hyphen_count,link_density,links_count,sender_domain,special_chars,subdomain_count,subject_length,urgent_keywords,http_status,response_error
1,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,1,phishing_email_agent_000001_000100_chunk_input,Strategies for Expanding Digital Brand Influence and Innovating Products,0,tobiasbuek,legitimate,0.2763301942922517,0.7236698057077483,0,0,0,170,0,0,0,0.0,0,,2,0,72,0,200,
2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,2,phishing_email_agent_000001_000100_chunk_input,Data Synchronization Problem Noted,0,tobiasbuek,legitimate,0.4998986874298703,0.5001013125701297,0,0,0,437,0,0,0,0.0,0,,8,0,34,1,200,
3,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,3,phishing_email_agent_000001_000100_chunk_input,Re: Mercury Deployment Issue on AWS,0,rtweera,legitimate,0.41381702561084355,0.5861829743891565,0,0,0,523,0,0,0,0.0,0,,17,0,35,0,200,
4,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,4,phishing_email_agent_000001_000100_chunk_input,Request for Guidance on Integrating DocuSign and JIRA Software,0,tobiasbuek,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,588,0,0,0,0.0,0,,10,0,62,0,200,
5,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,5,phishing_email_agent_000001_000100_chunk_input,Incident of Data Breach Stemmed from Encryption Shortfall,0,tobiasbuek,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,68,0,0,0,0.0,0,,1,0,57,0,200,
6,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,6,phishing_email_agent_000001_000100_chunk_input,Scalability Solutions for Large Teams,0,tobiasbuek,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,248,0,0,0,0.0,0,,2,0,37,0,200,
7,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,7,phishing_email_agent_000001_000100_chunk_input,Unlock exclusive benefits for just $2.50/week,1,phishpuzzer,legitimate,0.44349793220454253,0.5565020677954575,0,0,0,1561,0,0,0,0.0,0,,33,0,45,0,200,
8,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,8,phishing_email_agent_000001_000100_chunk_input,Ultra Air Heater,1,phishing_pot,legitimate,0.47765193797923267,0.5223480620207673,0,0,12,2175,0,20,0,0.002297794117647059,5,u28872209.ct.sendgrid.net,232,2,16,0,200,
9,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,9,phishing_email_agent_000001_000100_chunk_input,"[Spambayes-checkins] spambayes/spambayes WebAppPlugin.py, NONE, 1.1.2.1",0,phishpuzzer,legitimate,0.34815390910318667,0.6518460908968133,0,0,10,534,0,0,0,0.001869158878504673,1,python.org,86,1,71,0,200,
10,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,10,phishing_email_agent_000001_000100_chunk_input,Account Locked - identification required,1,phishpuzzer,legitimate,0.4040095774080342,0.5959904225919658,0,0,8,2282,0,0,0,0.0,0,customermail.usaa.com,64,1,40,0,200,
11,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,11,phishing_email_agent_000001_000100_chunk_input,Information on Security Protocols,0,tobiasbuek,phishing,0.5036732914391502,0.5036732914391502,0,0,0,740,0,0,0,0.0,0,,15,0,33,0,200,
12,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,12,phishing_email_agent_000001_000100_chunk_input,Customer issue: Professional Repair Solutions - Account closure notification,0,uberjugaad,legitimate,0.4395830050221673,0.5604169949778327,0,0,0,188,0,0,0,0.0,0,,6,0,76,0,200,
13,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,13,phishing_email_agent_000001_000100_chunk_input,TREC spam Results Submissions,0,phishpuzzer,legitimate,0.3422770534604868,0.6577229465395131,0,0,12,202,0,0,0,0.0049261083743842365,1,plg.uwaterloo.ca,12,1,29,0,200,
14,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,14,phishing_email_agent_000001_000100_chunk_input,Customer Support Ticket,0,tobiasbuek,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,532,0,0,0,0.0,0,,8,0,23,0,200,
15,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,15,phishing_email_agent_000001_000100_chunk_input,[opensuse] console keymap,0,phishpuzzer,legitimate,0.4063759709160683,0.5936240290839316,0,0,0,728,0,0,0,0.0,0,,36,0,25,0,200,
16,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,16,phishing_email_agent_000001_000100_chunk_input,Re: Intermittent Delays in API Response Times,0,rtweera,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,480,0,0,0,0.0,0,,49,0,45,0,200,
17,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,17,phishing_email_agent_000001_000100_chunk_input,Customer issue: ABC Works LLC - Product specifications do not match requirements,0,uberjugaad,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,192,0,0,0,0.0,0,,6,0,80,0,200,
18,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,18,phishing_email_agent_000001_000100_chunk_input,Urgent: API Monitoring Dashboard Downtime,0,rtweera,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,318,0,0,0,0.0,0,,6,0,41,0,200,
19,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,19,phishing_email_agent_000001_000100_chunk_input,Problems with Accessing Medical Data,0,tobiasbuek,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,264,0,0,0,0.0,0,,6,0,36,0,200,
20,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,20,phishing_email_agent_000001_000100_chunk_input,Approval needed: Extended terms,0,uberjugaad,legitimate,0.37301295536714796,0.626987044632852,0,0,0,146,0,0,0,0.0,0,,9,0,31,0,200,
21,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,21,phishing_email_agent_000001_000100_chunk_input,Encryption Deployment,0,tobiasbuek,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,243,0,0,0,0.0,0,,4,0,21,0,200,
22,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,22,phishing_email_agent_000001_000100_chunk_input,Re: Urgent help needed with Mercury Language integration,0,rtweera,legitimate,0.44661488058907167,0.5533851194109283,0,0,0,515,0,0,0,0.0,0,,12,0,56,0,200,
23,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,23,phishing_email_agent_000001_000100_chunk_input,Approval needed: Extended terms,0,uberjugaad,legitimate,0.37301295536714796,0.626987044632852,0,0,0,150,0,0,0,0.0,0,,9,0,31,0,200,
24,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,24,phishing_email_agent_000001_000100_chunk_input,Protection of Medical Data in Hospitals,0,tobiasbuek,legitimate,0.41381702561084355,0.5861829743891565,0,0,0,420,0,0,0,0.0,0,,8,0,39,0,200,
25,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,25,phishing_email_agent_000001_000100_chunk_input,"phishing@pot-f-p , Krijg nu gratis Netflix toegang voor drie jaar!",1,phishing_pot,legitimate,0.4511658576959569,0.548834142304043,0,0,12,9463,0,175,0,0.0010566356720202875,10,homcom.store,1560,1,66,0,200,
26,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,26,phishing_email_agent_000001_000100_chunk_input,Customer Support Ticket,0,tobiasbuek,legitimate,0.4998986874298703,0.5001013125701297,0,0,0,503,0,0,0,0.0,0,,8,0,23,1,200,
27,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,27,phishing_email_agent_000001_000100_chunk_input,[spambayes-dev] 1.1b1?,0,phishpuzzer,legitimate,0.34815390910318667,0.6518460908968133,0,0,10,1096,0,0,0,0.0009115770282588879,1,python.org,97,1,22,0,200,
28,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,28,phishing_email_agent_000001_000100_chunk_input,Secure Confirmation!,1,phishyai-phishing,legitimate,0.395733340454113,0.604266659545887,0,0,0,2,0,0,0,0.0,0,,2,0,20,0,200,
29,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,29,phishing_email_agent_000001_000100_chunk_input,Re: URGENT: Users randomly losing access to critical resources,0,rtweera,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,255,0,0,0,0.0,0,,6,0,62,0,200,
30,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s1-gd_detector_suite_ynpu9jjz/phishing_email_agent_000001_000100/chunk_input.csv,30,phishing_email_agent_000001_000100_chunk_input,Re: Scaling Issues with Our App on Your Cloud Platform,0,rtweera,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,361,0,0,0,0.0,0,,11,0,54,0,200,
