row_number,source_path,source_row_number,dataset_name,subject,label,data_source,prediction,probability,confidence,digit_count,domain_age,domain_length,email_length,has_attachment,html_tags,hyphen_count,link_density,links_count,sender_domain,special_chars,subdomain_count,subject_length,urgent_keywords,http_status,response_error
1,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000601_000700/chunk_input.csv,1,phishing_email_agent_000601_000700_chunk_input,Suggestion for Enhancing Project Tool,0,tobiasbuek,legitimate,0.2406517737484475,0.7593482262515525,0,0,0,417,0,0,0,0.0,0,,6,0,37,0,200,
2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000601_000700/chunk_input.csv,2,phishing_email_agent_000601_000700_chunk_input,Reported Performance Issues with SaaS Platform,0,tobiasbuek,legitimate,0.21385668490513574,0.7861433150948642,0,0,0,87,0,0,0,0.0,0,,1,0,46,0,200,
3,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000601_000700/chunk_input.csv,3,phishing_email_agent_000601_000700_chunk_input,Approval needed: Volume discount,0,uberjugaad,legitimate,0.37301295536714796,0.626987044632852,0,0,0,147,0,0,0,0.0,0,,9,0,32,0,200,
4,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000601_000700/chunk_input.csv,4,phishing_email_agent_000601_000700_chunk_input,Xiaomi Account verification,0,phishpuzzer,legitimate,0.2699211073720617,0.7300788926279382,0,0,9,278,0,0,0,0.0,0,gmail.com,22,1,27,0,200,
5,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000601_000700/chunk_input.csv,5,phishing_email_agent_000601_000700_chunk_input,Overdue: Customer 538710048 - 46 days,0,uberjugaad,legitimate,0.4998986874298703,0.5001013125701297,0,0,0,188,0,0,0,0.0,0,,7,0,37,1,200,
6,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000601_000700/chunk_input.csv,6,phishing_email_agent_000601_000700_chunk_input,Re: [opensuse] Unstable system - who is the culprit?,0,phishpuzzer,legitimate,0.3422770534604868,0.6577229465395131,0,0,0,1134,0,0,0,0.0,0,,65,0,52,0,200,
7,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000601_000700/chunk_input.csv,7,phishing_email_agent_000601_000700_chunk_input,Propuesta,1,phishpuzzer,legitimate,0.31472486721684273,0.6852751327831572,0,0,0,672,0,0,0,0.0,0,,20,0,9,0,200,
8,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000601_000700/chunk_input.csv,8,phishing_email_agent_000601_000700_chunk_input,Reminder: Withdraw your funds today,1,phishing_pot,phishing,0.68541554565306,0.68541554565306,0,0,13,10377,0,121,0,0.0008672191173636539,9,upload.wikimedia.org,1269,1,35,1,200,
9,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000601_000700/chunk_input.csv,9,phishing_email_agent_000601_000700_chunk_input,"Pontos dispon��veis rewards Nubank, resgate agora. - REGISTRO: 819188373.",1,phishing_pot,legitimate,0.37435974272631084,0.6256402572736892,0,0,11,7660,0,308,0,0.0002610625244746117,2,www.foregon.com,1705,1,73,0,200,
10,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/phishing_email_agent_000601_000700/chunk_input.csv,10,phishing_email_agent_000601_000700_chunk_input,Exceptional' air attack on Kyiv,1,phishpuzzer,legitimate,0.2466280283314785,0.7533719716685214,0,0,12,7673,0,0,0,0.0,0,usatoday.com,175,1,31,0,200,
