group_label,feature_a,feature_b,cell_slug,rank,sentence,sentence_score,token_count
LLM-P-FN,Authority,Authority,authority__authority,1,best name position contact information,59.848327008417876,5
LLM-P-FN,Authority,Authority,authority__authority,2,warm name position contact information,42.994338872014644,5
LLM-P-FN,Authority,Authority,authority__authority,3,sincerely name position contact information,42.994338872014644,5
LLM-P-FN,Authority,Authority,authority__authority,4,best name position contact details,42.61715571879958,5
LLM-P-FN,Authority,Authority,authority__authority,5,convincing bec business email compromise scam letter use target secretary trick accounting department into transferring funds external account name hope email finds well,33.099800392509486,23
LLM-P-FN,Authority,Authority,authority__authority,6,best name position,25.51193249400759,3
LLM-P-FN,Authority,Authority,authority__authority,7,best name position company name phone number,25.51193249400759,7
LLM-P-FN,Authority,Authority,authority__authority,8,contact information any questions concerns regarding reimbursement procedures internal controls hesitate contact compliance officer reimbursement financialservices com mailto compliance organization com number number number number,17.14158590863349,25
LLM-P-FN,Authority,Authority,authority__authority,9,subject alert recognizing social engineering attacks team hope email finds well,17.06106902545193,11
LLM-P-FN,Authority,Authority,authority__authority,10,subject important reminder dangers reusing passwords team hope email finds well,17.06106902545193,11
LLM-P-FN,Authority,Liking,authority__liking,1,best senior data analyst emily chen techcorp com number number number website data security specialist emily brooks company com number number number website healthcare solutions inc emily chen healthcarefacility com number number number website,59.762426117986955,34
LLM-P-FN,Authority,Liking,authority__liking,2,best emily chen senior data analyst emily chen techcorp com number number number website techcorp team support techcorp com number number number website website note customize placeholders brand new car website august number number etc,59.45996987800088,35
LLM-P-FN,Authority,Liking,authority__liking,3,best emily chen senior data analyst emily chen techcorp com number number number website senior data analyst emily chen techcorp com number number number website techcorp inc support techcorp com number number number website,59.45996987800088,34
LLM-P-FN,Authority,Liking,authority__liking,4,best emily chen cloud security specialist emily chen techcorp com number number number website bank security update support banksecurityupdate com number number number number website,59.0502186377392,25
LLM-P-FN,Authority,Liking,authority__liking,5,best lily tran emily chen company com number number number website bank security update support techcorp com number number number website,58.7894765213083,21
LLM-P-FN,Authority,Liking,authority__liking,6,best emily chen customer support techcorp inc inquiries emily chen techcorp com number number number website phone number number number,51.49389243688015,20
LLM-P-FN,Authority,Liking,authority__liking,7,best senior data analyst data security specialist emily chen techcorp com number number number website techcorp support banksecurityupdate com number number number website,50.966413615072575,23
LLM-P-FN,Authority,Liking,authority__liking,8,best emily chen senior data analyst emily chen greentech com number number number website senior data analyst emily chen techcorp com number number number website techcorp,43.487009641119386,26
LLM-P-FN,Authority,Liking,authority__liking,9,reach out emily chen techcorp com number number number website number number number further guidance,43.487009641119386,15
LLM-P-FN,Authority,Liking,authority__liking,10,best emily chen senior data analyst emily chen techcorp com number number number website emily chen techcorp com number number number website,43.487009641119386,22
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,1,should avoid any technical jargon might confuse seller,44.698647198510606,8
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,2,avoid any technical jargon might confuse customer,35.66172076732334,7
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,3,keep language simple direct avoiding any technical jargon might confuse them,35.632934846007245,11
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,4,should make sure tone supportive professional avoiding any technical jargon might confuse users,35.489469528480285,13
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,5,need make sure language clear straightforward avoiding any technical jargon might confuse user,35.47232654804391,13
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,6,need make sure tone empathetic professional avoiding any technical jargon might confuse user,35.46296933788905,13
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,7,should avoid any technical jargon might confuse client,35.43200482947584,8
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,8,should avoid any technical jargon might confuse customers keeping language simple direct,35.42739765348356,12
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,9,should also make sure language clear straightforward avoiding any technical jargon might confuse client,35.32950409228331,14
LLM-P-FN,Authority,Reciprocity,authority__reciprocity,10,need make sure language clear concise avoiding any technical jargon might confuse client,35.322289754683,13
LLM-P-FN,Authority,Social Proof,authority__social_proof,1,subject temporary payment disruption notice evelyn brooks hope message finds well,45.937958771363974,11
LLM-P-FN,Authority,Social Proof,authority__social_proof,2,subject detailed questions about vehicle listing evelyn brooks hope message finds well,44.5746333977437,12
LLM-P-FN,Authority,Social Proof,authority__social_proof,3,then polite opening line like hope message finds well,44.40679347326363,9
LLM-P-FN,Authority,Social Proof,authority__social_proof,4,subject recommendations enhancing financial management greentech inc hope message finds well,44.27056931083256,11
LLM-P-FN,Authority,Social Proof,authority__social_proof,5,emily chen number main street new york number info techcorp com number number number number number number securityshield chief information security officer company inc number main street new york number securityshield hope message finds well,44.13902017022679,35
LLM-P-FN,Authority,Social Proof,authority__social_proof,6,subject important notice discrepancy payment information evelyn brooks hope message finds well,44.11036923817931,12
LLM-P-FN,Authority,Social Proof,authority__social_proof,7,subject important update account evelyn brooks hope message finds well,44.10107911638291,10
LLM-P-FN,Authority,Social Proof,authority__social_proof,8,subject alert unusual activity account evelyn tran hope message finds well,43.784537570591326,11
LLM-P-FN,Authority,Social Proof,authority__social_proof,9,subject important notice digital security coverage expiring soon evelyn tran hope message finds well,43.67315288113669,14
LLM-P-FN,Authority,Social Proof,authority__social_proof,10,subject service update corporate clients evelyn brooks hope message finds well,43.63023445387941,11
LLM-P-FN,Authority,Scarcity,authority__scarcity,1,should make sure tone professional yet approachable avoiding any jargon,14.327024399905355,10
LLM-P-FN,Authority,Scarcity,authority__scarcity,2,title silent invader understanding harmful fungal growth bullet points what fungi why they harmful,13.254331015325356,14
LLM-P-FN,Authority,Scarcity,authority__scarcity,3,slide number invisible impact beyond obvious title domino effect unseen consequences fungi bullet points digestive issues bloating gas ibs symptoms,13.254331015325356,20
