group_label,feature_a,feature_b,cell_slug,rank,sentence,sentence_score,token_count
HW-P-FN,Authority,Authority,authority__authority,1,sent national public radio north capitol street washington unsubscribe privacy policy,56.14645904433289,11
HW-P-FN,Authority,Authority,authority__authority,2,more etnt mind body daily habits build stamina after increase quality life years come these healthy habits,24.18130039618746,17
HW-P-FN,Authority,Authority,authority__authority,3,having trouble reading message view browser etnt mind body best supplements women over these supplements promote healthy aging boosted wellness,24.18130039618746,20
HW-P-FN,Authority,Authority,authority__authority,4,more etnt mind body best supplements women over these supplements promote healthy aging boosted wellness,24.18130039618746,15
HW-P-FN,Authority,Authority,authority__authority,5,having trouble reading message view browser etnt mind body fitness habits destroying body before beware these common pitfalls head toward,24.18130039618746,20
HW-P-FN,Authority,Authority,authority__authority,6,more etnt mind body fitness habits destroying body before beware these common pitfalls head toward,24.18130039618746,15
HW-P-FN,Authority,Authority,authority__authority,7,more etnt mind body least effective exercises losing belly what instead goodbye those useless moves amazing results,24.18130039618746,17
HW-P-FN,Authority,Authority,authority__authority,8,more etnt mind body worst exercises completely destroy neck ditch these moves wreaking havoc neck,24.18130039618746,15
HW-P-FN,Authority,Authority,authority__authority,9,more etnt mind body floor exercises should every stay staying excellent shape simple these exercises,24.18130039618746,15
HW-P-FN,Authority,Authority,authority__authority,10,more etnt mind body bodyweight exercises jelly belly melt belly jiggles good these moves,24.18130039618746,14
HW-P-FN,Authority,Liking,authority__liking,1,idea crawler crawls millions websites daily started free trial mixpanel almost instantly,49.00175326873439,12
HW-P-FN,Authority,Liking,authority__liking,2,think like would valuable somebody like kissmetrics just wasting time here,40.920297831856715,11
HW-P-FN,Authority,Liking,authority__liking,3,carfax maintains complete list recalled vehicles affected model years here prospective buyers also check used cars could risk here drive safe there sarah whitmire senior editor newsletters follow twitter forbes combreaking newsap alex brandon president biden house speaker kevin mccarthy both said their meeting last night discuss raising debt ceiling productive though still clear leaders find common ground,35.12004069401115,58
HW-P-FN,Authority,Liking,authority__liking,4,enjoy caroline howard executive editor follow twitter forbes combreaking newsgetty imagespresident biden house speaker kevin mccarthy emerged positive outlook following their latest round debt ceiling negotiations,35.12004069401115,26
HW-P-FN,Authority,Liking,authority__liking,5,meet debt ceiling negotiators louisiana garret graves helped california kevin mccarthy secure house speaker seat january,35.12004069401115,16
