group_label,feature_a,feature_b,cell_slug,rank,phrase,phrase_len,log_ratio_score,weighted_group_count,weighted_background_count,group_doc_count,background_doc_count
HW-P-FN,Authority,Authority,authority__authority,1,money shop,2,8.650779215661832,81.0,0.0,15,0
HW-P-FN,Authority,Authority,authority__authority,2,healthy eating,2,8.207642619604414,52.0,0.0,18,0
HW-P-FN,Authority,Authority,authority__authority,3,credit approval,2,8.168429597250244,50.0,0.0,18,0
HW-P-FN,Authority,Authority,authority__authority,4,more restaurants,2,8.168429597250244,50.0,0.0,21,0
HW-P-FN,Authority,Authority,authority__authority,5,subject credit,2,8.10656695685547,47.0,0.0,15,0
HW-P-FN,Authority,Authority,authority__authority,6,more healthy,2,8.08506537598681,46.0,0.0,18,0
HW-P-FN,Authority,Authority,authority__authority,7,mind body,2,8.08506537598681,46.0,0.0,24,0
HW-P-FN,Authority,Authority,authority__authority,8,etnt mind,2,8.040623492642432,44.0,0.0,22,0
HW-P-FN,Authority,Authority,authority__authority,9,public radio,2,8.040623492642432,44.0,0.0,43,0
HW-P-FN,Authority,Authority,authority__authority,10,radio north,2,8.017639258615077,43.0,0.0,43,0
HW-P-FN,Authority,Authority,authority__authority,11,washington unsubscribe,2,8.017639258615077,43.0,0.0,43,0
HW-P-FN,Authority,Authority,authority__authority,12,north capitol,2,8.017639258615077,43.0,0.0,43,0
HW-P-FN,Authority,Authority,authority__authority,13,street washington,2,8.017639258615077,43.0,0.0,43,0
HW-P-FN,Authority,Authority,authority__authority,14,capitol street,2,8.017639258615077,43.0,0.0,43,0
HW-P-FN,Authority,Authority,authority__authority,15,unsubscribe privacy policy,3,8.017639258615077,43.0,0.0,43,0
HW-P-FN,Authority,Liking,authority__liking,1,debt ceiling,2,8.859814175345821,111.97730800000004,0.0,48,0
HW-P-FN,Authority,Liking,authority__liking,2,toronto star,2,8.804833508446178,105.98637300000001,0.0,45,0
HW-P-FN,Authority,Liking,authority__liking,3,tiny desk,2,8.584152026965395,84.99613199999999,0.0,16,0
HW-P-FN,Authority,Liking,authority__liking,4,wasting time,2,8.252462319367119,60.99974999999999,0.0,15,0
HW-P-FN,Authority,Liking,authority__liking,5,morning edition,2,8.184617679716794,56.997854000000004,0.0,32,0
HW-P-FN,Authority,Liking,authority__liking,6,idea crawler,2,8.166958878122399,56.0,0.0,10,0
HW-P-FN,Authority,Liking,authority__liking,7,daily started,2,8.166958878122399,56.0,0.0,10,0
HW-P-FN,Authority,Liking,authority__liking,8,like would,2,8.166958878122399,56.0,0.0,10,0
HW-P-FN,Authority,Liking,authority__liking,9,crawler crawls millions,3,8.166958878122399,56.0,0.0,10,0
