row_number,source_path,source_row_number,dataset_name,subject,label,data_source,content_length,spamassassin_prediction,spamassassin_status_header,spamassassin_flag_header,spamassassin_score,spamassassin_required_score,spamassassin_tests,spamassassin_error
1,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000201_000300/chunk_input.csv,1,spamassassin_000201_000300_chunk_input,Approval needed: Special pricing,0,uberjugaad,181,0,"No, score=3.3 required=5.0 tests=LOTS_OF_MONEY,MISSING_DATE,	MISSING_MID,NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"LOTS_OF_MONEY,MISSING_DATE,	MISSING_MID,NO_RECEIVED,NO_RELAYS",
2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000201_000300/chunk_input.csv,2,spamassassin_000201_000300_chunk_input,Query on Customer Support,0,tobiasbuek,214,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
3,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000201_000300/chunk_input.csv,3,spamassassin_000201_000300_chunk_input,Issue with Payment Processing for Security Software,0,tobiasbuek,363,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
4,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000201_000300/chunk_input.csv,4,spamassassin_000201_000300_chunk_input,Your USAA Checking/Savings Account Urgent Preference Update,1,phishpuzzer,93,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
5,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000201_000300/chunk_input.csv,5,spamassassin_000201_000300_chunk_input,URGENT: Our API Integration is Failing - Need Immediate Assistance,0,rtweera,452,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
6,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000201_000300/chunk_input.csv,6,spamassassin_000201_000300_chunk_input,Question from eBay member,1,phishyai-phishing,2270,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
7,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000201_000300/chunk_input.csv,7,spamassassin_000201_000300_chunk_input,You have won an $500 WalMart Gift Card,1,phishing_pot,8591,1,"Yes, score=6.3 required=5.0 tests=HOSTED_IMG_MULTI_PUB_01,	MISSING_DATE,MISSING_MID,NO_RECEIVED,NO_RELAYS autolearn=disabled	version=4.0.2",YES,6.3,5.0,"HOSTED_IMG_MULTI_PUB_01,	MISSING_DATE,MISSING_MID,NO_RECEIVED,NO_RELAYS",
8,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000201_000300/chunk_input.csv,8,spamassassin_000201_000300_chunk_input,"WARNING: The domain ""monkey.org"" has exceeded its disk quota.",1,nazario,404,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
9,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000201_000300/chunk_input.csv,9,spamassassin_000201_000300_chunk_input,Re: Urgent: Mercury Language Compiler Errors in Production,0,rtweera,674,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
10,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000201_000300/chunk_input.csv,10,spamassassin_000201_000300_chunk_input,Proposal For Research Assistant,1,cmu-archived-phish,385,0,"No, score=4.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS,URI_DOTEDU autolearn=disabled version=4.0.2",,4.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS,URI_DOTEDU",
11,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000201_000300/chunk_input.csv,11,spamassassin_000201_000300_chunk_input,Approval needed: Volume discount,0,uberjugaad,176,0,"No, score=3.3 required=5.0 tests=LOTS_OF_MONEY,MISSING_DATE,	MISSING_MID,NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"LOTS_OF_MONEY,MISSING_DATE,	MISSING_MID,NO_RECEIVED,NO_RELAYS",
12,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000201_000300/chunk_input.csv,12,spamassassin_000201_000300_chunk_input,Concern Regarding Medical Data Breach,0,tobiasbuek,349,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
13,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000201_000300/chunk_input.csv,13,spamassassin_000201_000300_chunk_input,Your E-Purchasing Update 28137EAB,1,phishing_pot,408,1,"Yes, score=7.4 required=5.0 tests=DOS_BODY_HIGH_NO_MID,	MISSING_DATE,MISSING_MID,NO_RECEIVED,NO_RELAYS autolearn=disabled	version=4.0.2",YES,7.4,5.0,"DOS_BODY_HIGH_NO_MID,	MISSING_DATE,MISSING_MID,NO_RECEIVED,NO_RELAYS",
14,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000201_000300/chunk_input.csv,14,spamassassin_000201_000300_chunk_input,(1) Cadeau staat voor u gereserveerd!,1,phishing_pot,12037,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
15,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000201_000300/chunk_input.csv,15,spamassassin_000201_000300_chunk_input,Detected Unauthorised Access in Medical Records System,0,tobiasbuek,708,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
16,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000201_000300/chunk_input.csv,16,spamassassin_000201_000300_chunk_input,Re: TREC 2007 Spam Track,0,phishpuzzer,377,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
17,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000201_000300/chunk_input.csv,17,spamassassin_000201_000300_chunk_input,Support SaaS Platform Issue,0,tobiasbuek,252,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
18,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000201_000300/chunk_input.csv,18,spamassassin_000201_000300_chunk_input,Your account is experiencing a payment issue.,1,phishing_pot,2665,1,"Yes, score=7.4 required=5.0 tests=DOS_BODY_HIGH_NO_MID,	MISSING_DATE,MISSING_MID,NO_RECEIVED,NO_RELAYS autolearn=disabled	version=4.0.2",YES,7.4,5.0,"DOS_BODY_HIGH_NO_MID,	MISSING_DATE,MISSING_MID,NO_RECEIVED,NO_RELAYS",
