row_number,source_path,source_row_number,dataset_name,subject,label,data_source,content_length,spamassassin_prediction,spamassassin_status_header,spamassassin_flag_header,spamassassin_score,spamassassin_required_score,spamassassin_tests,spamassassin_error
1,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000501_000600/chunk_input.csv,1,spamassassin_000501_000600_chunk_input,Please visit our security center immediately.,1,phishpuzzer,1261,1,"Yes, score=7.5 required=5.0 tests=DOS_BODY_HIGH_NO_MID,	MISSING_DATE,MISSING_MID,NO_RECEIVED,NO_RELAYS,TVD_PH_SEC	autolearn=disabled version=4.0.2",YES,7.5,5.0,"DOS_BODY_HIGH_NO_MID,	MISSING_DATE,MISSING_MID,NO_RECEIVED,NO_RELAYS,TVD_PH_SEC	autolearn=disabled",
2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000501_000600/chunk_input.csv,2,spamassassin_000501_000600_chunk_input,Urgent-Email Password Update!!!,1,nazario,379,1,"Yes, score=8.4 required=5.0 tests=DOS_BODY_HIGH_NO_MID,	MISSING_DATE,MISSING_MID,NO_RECEIVED,NO_RELAYS,SHY_OBFU_PASSWORD	autolearn=disabled version=4.0.2",YES,8.4,5.0,"DOS_BODY_HIGH_NO_MID,	MISSING_DATE,MISSING_MID,NO_RECEIVED,NO_RELAYS,SHY_OBFU_PASSWORD	autolearn=disabled",
3,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000501_000600/chunk_input.csv,3,spamassassin_000501_000600_chunk_input,Missing Investment Information,0,tobiasbuek,45,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
4,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000501_000600/chunk_input.csv,4,spamassassin_000501_000600_chunk_input,Jetzt haben Sie die Chance einen ���500 Netto-Guitschein zugewinnen!,1,phishing_pot,6809,1,"Yes, score=7.4 required=5.0 tests=DOS_BODY_HIGH_NO_MID,	MISSING_DATE,MISSING_MID,NO_RECEIVED,NO_RELAYS autolearn=disabled	version=4.0.2",YES,7.4,5.0,"DOS_BODY_HIGH_NO_MID,	MISSING_DATE,MISSING_MID,NO_RECEIVED,NO_RELAYS",
5,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000501_000600/chunk_input.csv,5,spamassassin_000501_000600_chunk_input,Microsoft account unusual signin activity,1,phishing_pot,12040,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
6,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000501_000600/chunk_input.csv,6,spamassassin_000501_000600_chunk_input,Approval needed: Special pricing,0,uberjugaad,180,0,"No, score=3.3 required=5.0 tests=LOTS_OF_MONEY,MISSING_DATE,	MISSING_MID,NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"LOTS_OF_MONEY,MISSING_DATE,	MISSING_MID,NO_RECEIVED,NO_RELAYS",
7,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000501_000600/chunk_input.csv,7,spamassassin_000501_000600_chunk_input,Ontdek hoeveel u kunt besparen met de Gemeentechecker!,1,phishing_pot,12054,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
8,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000501_000600/chunk_input.csv,8,spamassassin_000501_000600_chunk_input,Monkey Final warning : Password Expired Notice,1,nazario,160,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
9,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000501_000600/chunk_input.csv,9,spamassassin_000501_000600_chunk_input,"PO Approval Required: €50,050",0,uberjugaad,188,0,"No, score=3.3 required=5.0 tests=LOTS_OF_MONEY,MISSING_DATE,	MISSING_MID,NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"LOTS_OF_MONEY,MISSING_DATE,	MISSING_MID,NO_RECEIVED,NO_RELAYS",
10,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000501_000600/chunk_input.csv,10,spamassassin_000501_000600_chunk_input,"Aviso, Mercadoria Retida.",1,phishing_pot,6540,1,"Yes, score=10.4 required=5.0 tests=DOS_BODY_HIGH_NO_MID,	MANY_SPAN_IN_TEXT,MISSING_DATE,MISSING_MID,NO_RECEIVED,NO_RELAYS,	PDS_OTHER_BAD_TLD autolearn=disabled version=4.0.2",YES,10.4,5.0,"DOS_BODY_HIGH_NO_MID,	MANY_SPAN_IN_TEXT,MISSING_DATE,MISSING_MID,NO_RECEIVED,NO_RELAYS,	PDS_OTHER_BAD_TLD",
