stage,detector,n_rows,positive_rate,predicted_positive_rate,mcc,f1,fpr,fnr,recall,precision,f0_5,f2,accuracy,pr_auc
S1,llm_guard_prediction,2673,0.25177702955480735,0.21623643845866067,0.17058213591702404,0.36290967226219023,0.1755,0.662704309063893,0.337295690936107,0.39273356401384085,0.38023450586264657,0.3470948012232416,0.7018331462775907,0.2993210612371262
S1,phishing_email_agent_prediction,2673,0.25177702955480735,0.5001870557426114,0.3281824746846828,0.5243781094527363,0.405,0.21693907875185736,0.7830609212481426,0.39416604338070305,0.43763494436140177,0.6540084388185654,0.6423494201271979,0.3632763018969278
S1,email_phishing_detection_v3_prediction,366,0.25956284153005466,0.5792349726775956,0.3783832373613118,0.5537459283387622,0.46863468634686345,0.10526315789473684,0.8947368421052632,0.4009433962264151,0.45068928950159065,0.7179054054054054,0.6256830601092896,0.38606123257416664
S1,pyrit_original_prediction,0,,,,,,,,,,,,
S1,pyrit_blocklist_prediction,2673,0.25177702955480735,0.2846988402543958,0.2146829258263322,0.42398884239888424,0.2285,0.5482912332838039,0.45170876671619614,0.39947437582128775,0.40893193435566316,0.4401969302056183,0.6909839132061354,0.31849321568409417
S2,llm_guard_prediction,1995,0.49974937343358394,0.9598997493734336,-0.20449292916739276,0.6298076923076923,1.0,0.0802407221664995,0.9197592778335005,0.47885117493472584,0.5296292018020099,0.7767236998136541,0.45964912280701753,0.4805280614742531
S2,phishing_email_agent_prediction,1995,0.49974937343358394,0.3493734335839599,-0.004889424984960705,0.4085005903187721,0.3517034068136273,0.6529588766298897,0.34704112337011034,0.4964131994261119,0.4570673712021136,0.36926360725720386,0.49774436090225566,0.49859158385827274
S2,email_phishing_detection_v3_prediction,0,,,,,,,,,,,,
S2,pyrit_original_prediction,0,,,,,,,,,,,,
S2,pyrit_blocklist_prediction,1995,0.49974937343358394,0.11578947368421053,0.1458707124008942,0.26384364820846906,0.06913827655310621,0.8375125376128385,0.1624874623871615,0.7012987012987013,0.4216553878188444,0.19198862289642096,0.5468671679197995,0.5324986122642249
S4,llm_guard_prediction,17249,0.6807930894544612,0.6754014725491333,-0.46142145602387225,0.5295601248236652,0.9909189974573193,0.47253683045218425,0.5274631695478157,0.5316738197424893,0.5308263202097938,0.5282999556480502,0.361991999536205,0.6021381668115289
S4,phishing_email_agent_prediction,17249,0.6807930894544612,0.2975824685489014,0.42121048031340164,0.5976534723868215,0.01634580457682528,0.5705526696755514,0.4294473303244486,0.9824663939216832,0.7812548412083656,0.48392668649841664,0.6063539915357412,0.8103458846880642
S4,email_phishing_detection_v3_prediction,0,,,,,,,,,,,,
S4,pyrit_original_prediction,0,,,,,,,,,,,,
S4,pyrit_blocklist_prediction,17248,0.6807745825602969,0.1770060296846011,0.3084485969081162,0.40892193308550184,0.005085361423901199,0.7423777891330268,0.25762221086697323,0.9908286930887652,0.6314185522250981,0.3023730033385978,0.492984693877551,0.7606514080030338
S5,llm_guard_prediction,2456,0.5,0.7687296416938111,-0.5484956313655731,0.42362002567394097,1.0,0.46254071661237783,0.5374592833876222,0.3495762711864407,0.37585421412300685,0.4852941176470588,0.2687296416938111,0.4191533705073704
S5,phishing_email_agent_prediction,2456,0.5,0.4234527687296417,0.8438235859714008,0.91005291005291,0.006514657980456026,0.15960912052117263,0.8403908794788274,0.9923076923076923,0.9576837416481069,0.8669354838709677,0.9169381107491856,0.9137308945126534
S5,email_phishing_detection_v3_prediction,0,,,,,,,,,,,,
S5,pyrit_original_prediction,0,,,,,,,,,,,,
S5,pyrit_blocklist_prediction,0,,,,,,,,,,,,
S6-fuzzer,llm_guard_prediction,3240,0.6660493827160494,0.49876543209876545,-0.3263447367943443,0.43826179120296765,0.7292051756007394,0.6167747914735866,0.38322520852641334,0.5117574257425742,0.4795871027603804,0.4034933645589383,0.345679012345679,0.6069208153309409
S6-fuzzer,phishing_email_agent_prediction,3280,0.6679878048780488,0.22164634146341464,0.13618293290926317,0.39273474982864975,0.1414141414141414,0.7384755819260611,0.26152441807393884,0.7881705639614855,0.5618748774269464,0.30186492466547254,0.45975609756097563,0.6994185310098648
S6-fuzzer,email_phishing_detection_v3_prediction,837,0.6630824372759857,0.42891278375149344,0.46452832653761783,0.7199124726477024,0.10638297872340426,0.4072072072072072,0.5927927927927928,0.9164345403899722,0.8262179809141135,0.6378441256300892,0.6941457586618877,0.8132677380408533
S6-fuzzer,pyrit_original_prediction,0,,,,,,,,,,,,
S6-fuzzer,pyrit_blocklist_prediction,0,,,,,,,,,,,,
S8-deepseek,llm_guard_prediction,3000,0.5,0.7616666666666667,0.22766531256395311,0.6805812417437253,0.6646666666666666,0.14133333333333334,0.8586666666666667,0.5636761487964989,0.6052631578947368,0.7773083886541944,0.597,0.5546765864332603
S8-deepseek,phishing_email_agent_prediction,3000,0.5,0.13933333333333334,0.30609825947298713,0.38373305526590196,0.03333333333333333,0.7546666666666667,0.24533333333333332,0.8803827751196173,0.5800756620428752,0.28669367404175755,0.606,0.5933205741626795
S8-deepseek,email_phishing_detection_v3_prediction,0,,,,,,,,,,,,
S8-deepseek,pyrit_original_prediction,0,,,,,,,,,,,,
S8-deepseek,pyrit_blocklist_prediction,0,,,,,,,,,,,,
