feature_a,feature_b,cell_slug,contribution_type,group_size,background_size,mean_group_contribution,mean_background_contribution,max_group_contribution,top_doc_count_used
Authority,Authority,authority__authority,diagonal,5084,93092,0.9576640210464201,0.8968620317857605,1.0,400
Authority,Liking,authority__liking,cooccurrence,5084,93092,0.845050445543134,0.6506357817656702,1.0,400
Authority,Reciprocity,authority__reciprocity,cooccurrence,5084,93092,0.47796263687129803,0.36544982148840527,0.999972,400
Authority,Social Proof,authority__social_proof,cooccurrence,5084,93092,0.34418949338371796,0.28157632661740745,0.999819,400
Authority,Scarcity,authority__scarcity,cooccurrence,5084,93092,0.06588664670795298,0.057346640041122506,0.869076,400
Authority,Commitment,authority__commitment,cooccurrence,5084,93092,0.02282901238776318,0.019495701144460652,0.525503,400
Liking,Liking,liking__liking,diagonal,5084,93092,0.8806514730527144,0.6834743233145705,1.0,400
Liking,Reciprocity,liking__reciprocity,cooccurrence,5084,93092,0.44860197826669607,0.3167282130300053,0.99995700042,400
Liking,Social Proof,liking__social_proof,cooccurrence,5084,93092,0.32355490665593606,0.24272091933596834,0.999804002715,400
Liking,Scarcity,liking__scarcity,cooccurrence,5084,93092,0.06181088271807829,0.05035612667350774,0.869076,400
Liking,Commitment,liking__commitment,cooccurrence,5084,93092,0.021571585524579464,0.017288384922950085,0.525503,400
Reciprocity,Reciprocity,reciprocity__reciprocity,diagonal,5084,93092,0.48903880645161285,0.3848919357946977,0.999986,400
Reciprocity,Social Proof,reciprocity__social_proof,cooccurrence,5084,93092,0.21736421678723786,0.1636874343470234,0.999791005068,400
Reciprocity,Scarcity,reciprocity__scarcity,cooccurrence,5084,93092,0.04376387010855744,0.036226669485819554,0.8689647582719999,400
Reciprocity,Commitment,reciprocity__commitment,cooccurrence,5084,93092,0.015286078038800157,0.012399361597878456,0.5254357356160001,400
Social Proof,Social Proof,social_proof__social_proof,diagonal,5084,93092,0.350923571007081,0.2928479694495767,0.999819,400
Social Proof,Scarcity,social_proof__scarcity,cooccurrence,5084,93092,0.0347968705834345,0.030948267673267443,0.868095682272,400
Social Proof,Commitment,social_proof__commitment,cooccurrence,5084,93092,0.012006259550308615,0.01045531077313753,0.524910232616,400
Scarcity,Scarcity,scarcity__scarcity,diagonal,5084,93092,0.06673678107789142,0.058998663311562755,0.869076,400
Scarcity,Commitment,scarcity__commitment,cooccurrence,5084,93092,0.0031893076430942174,0.003009732521569287,0.456702045228,400
Commitment,Commitment,commitment__commitment,diagonal,5084,93092,0.023166442368214003,0.02014577251536115,0.525503,400
