row_number,source_path,source_row_number,dataset_name,subject,label,data_source,content_length,spamassassin_prediction,spamassassin_status_header,spamassassin_flag_header,spamassassin_score,spamassassin_required_score,spamassassin_tests,spamassassin_error
1,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000101_000200/chunk_input.csv,1,spamassassin_000101_000200_chunk_input,Visa Card Account Security Measures,1,phishyai-phishing,37,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000101_000200/chunk_input.csv,2,spamassassin_000101_000200_chunk_input,Customer issue: Johnson Supply Company - Billing entity clarification needed,0,uberjugaad,261,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
3,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000101_000200/chunk_input.csv,3,spamassassin_000101_000200_chunk_input,Importance of Security Protocols in Medical Data Management,0,tobiasbuek,105,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
4,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000101_000200/chunk_input.csv,4,spamassassin_000101_000200_chunk_input,[𝗡𝗲𝘁𝗳𝗹𝗶𝘅]: Account On-Hold!,1,phishing_pot,47,1,"Yes, score=7.4 required=5.0 tests=DOS_BODY_HIGH_NO_MID,	MISSING_DATE,MISSING_MID,NO_RECEIVED,NO_RELAYS autolearn=disabled	version=4.0.2",YES,7.4,5.0,"DOS_BODY_HIGH_NO_MID,	MISSING_DATE,MISSING_MID,NO_RECEIVED,NO_RELAYS",
5,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000101_000200/chunk_input.csv,5,spamassassin_000101_000200_chunk_input,Bom dia,1,phishing_pot,39,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
6,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000101_000200/chunk_input.csv,6,spamassassin_000101_000200_chunk_input,Re: URGENT: Production environment down - Instance unreachable,0,rtweera,139,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
7,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000101_000200/chunk_input.csv,7,spamassassin_000101_000200_chunk_input,Re: High API Latency in Production,0,rtweera,271,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
8,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000101_000200/chunk_input.csv,8,spamassassin_000101_000200_chunk_input,"Tell adidas what you like, we'll send you things you'll love",1,phishpuzzer,1398,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
9,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000101_000200/chunk_input.csv,9,spamassassin_000101_000200_chunk_input,Improvement of Encryption Protocols for Security,0,tobiasbuek,384,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS",
10,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s2-gd_detector_suite_h8j2sb7t/spamassassin_000101_000200/chunk_input.csv,10,spamassassin_000101_000200_chunk_input,customer notification: data confirmation! (mess_id: Z34628878105OT),1,phishyai-phishing,69,0,"No, score=3.3 required=5.0 tests=MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS,TVD_SPACE_RATIO autolearn=disabled version=4.0.2",,3.3,5.0,"MISSING_DATE,MISSING_MID,	NO_RECEIVED,NO_RELAYS,TVD_SPACE_RATIO",
