Subject,Body,label,data_source
Urgent System Update Request,I need an urgent system update to improve the stability and performance of our project management SaaS platform during peak usage periods. This update is crucial to ensure smooth operation and prevent any potential downtime.,0,tobiasbuek
Send me your available text number,"CMU archived phishing listing entry.

Date: 10/25/25
Target Audience: Students
Source Entry: https://www.cmu.edu/iso/aware/phish/phish-bowl-examples/2025/available-text-number.html

Note: The linked CMU detail page currently redirects to a general Secure Computing page, so the original message body is not publicly available from the live site.",1,cmu-archived-phish
Overdue: Customer 543518077 - 30 days,"Please contact customer immediately:

Invoice: 2717318
Amount: €311,972
Days overdue: 84
Last contact: 9 days ago

Customer threatening to switch suppliers but owes us money!

Stephen",0,uberjugaad
Support Needed for Recording Upload Issues,"Hello, I am encountering difficulties in uploading screen recordings to our project management platform, and I have attempted to resolve the issue by restarting my device, checking my network, and updating CCleaner but to no avail. I believe the problem could be linked to dependencies or software versions not being updated. I would be very grateful for any advice or assistance you could offer to fix this. If there are additional steps I need to take or more details you require, please let me know. I eagerly await your response and solution to this problem.",0,tobiasbuek
Question about user roles and cloud instance limits,"Hi Aetheros Support,

I have a couple of questions:

1. We're using your IAM service to manage user permissions. Is it possible to create a role that allows users to only view resources in a specific cloud region, but not modify them?

2. We're also using your Cloud Management service. Can we set limits on the number of instances a user can create within a specific cloud provider?

Thanks,
John Doe",0,rtweera
Confirm Your Transaction,"Confirm Your Recent Transactions For your security: Hello , You have a pending charge on your account, kindly confirm your login credentials and card security codes to access your account online. Login after the verification process to ensure all your transactions are accurate. Confirm Credentials Here Thank you for choosing American Express. American Express Customer Care Account : 37********* Privacy Statement | Add us to your address book Your Account information is included above to help you recognize this as a customer service e-mail from AmericanExpress. To learn more about e-mail security or report a suspicious e-mail, please visit us at americanexpress.com/phishing. We kindly ask you not to reply to this e-mail but instead contact us via Customer Care. Â© 2018 American Express. All rights reserved. ADCEUADC0070001 Â Confirm Your Recent Transactions For your security: Â HelloÂ , Â You have a pending charge on your account, kindlyÂ confirm your login credentials and card security codes to access your account online. Â Login after the verification process to ensure all your transactions are accurate. Â Confirm Credentials Here Â Â Thank you for choosingÂ AmericanÂ Express. Â AmericanÂ ExpressÂ Customer Care Â Â Account : 37********* Â Â Â Privacy Statement | Add us to your address book Â Your Account information is included above to help you recognize this as a customer service e-mail fromÂ AmericanExpress. To learn more about e-mail security or report a suspicious e-mail, please visit us atÂ americanexpress.com/phishing. We kindly ask you not to reply to this e-mail but instead contact us viaÂ Customer Care. Â Â© 2018Â AmericanÂ Express. All rights reserved. Â ADCEUADC0070001",1,phishpuzzer
The 9 biggest signs of autism in adulthood,"Plus, Tina Turner's indispensable life and career advice ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ The 9 Biggest Signs Of Autism In Adulthood There are a number of signs or thought patterns that undiagnosed autistic people may be able to relate to. HuffPost spoke with mental health professionals, including some people who are neurodivergent themselves, about the signs of autism in adulthood. Read more MORE ON LIFE What Your Brazilian Bikini Waxer Knows About You, Just From One Appointment: Four professional waxers share what they really think about when working on your nether regions. Read This Before You Try TikTok’s Latest Yeast Infection Cure: We asked experts about the long-term use of boric acid, side effects and when to visit your OB-GYN. 11 Clever Nighttime Routine Hacks Parents Use With Their Kids: Here’s how families with little kids make winding down for bed less of a battle. Here’s What’s Leaving Netflix In June: ""Jerry Maguire"" and ""How to Lose a Guy in 10 Days"" are among the movies departing the streaming platform next month. 10 Indispensable Pieces Of Life And Career Advice From Tina Turner: The legendary singer, who died Wednesday, was simply the best. She shared wisdom over the years that we could still all use. This Leading Cause Of Death For New Moms May Surprise You: After mental health conditions, heart problems are the second leading cause of death during and after pregnancy. Here's why. TOP SHOPPING PICKS Alert! The Internet-Famous Revlon Brush Is Only $28 On Amazon Right Now 10 Kids’ Gifts Actually Everyone Will Like, According To Toy Store Owners This Reviewer-Approved Luggage Is (Mostly) Under $100 On Amazon The Very Best Father’s Day Gifts For Every Type Of Dad We Painstakingly Selected The Best Furniture From Target’s Memorial Day Sale Does somebody keep forwarding you this newsletter? — Subscribe here! ©2023 HuffPost BuzzFeed, Inc, 111 E 18th St, 13th Floor, New York, NY 10003 You're receiving this email because you subscribed to updates from HuffPost. Feedback | Privacy Policy | Unsubscribe",1,phishpuzzer
Customer Support Ticket,"An alert for unauthorized access has been triggered in the hospital's network, which may have jeopardized the security of medical data due to vulnerabilities in the network devices.",0,tobiasbuek
Server Report Your incoming mail are blocked,"- This mail is in HTML. Some elements may be ommited in plain text. - Dear jose@monkey.org Your account information needs to be updated within 48Hours , If this is not done we shall suspend your account. Kindly CLICK HERE to get your mail updated. Regards, The Mail Team. ****************************** ****************************** ****************************** ****************************** ************** CONFIDENTIALITY NOTICE This e-mail and any attachment are confidential and may be privileged or otherwise protected from disclosure. It is solely intended for the person(s) named above. If you are not the intended recipient, any reading, use, disclosure, copying or distribution of all or parts of this e-mail or associated attachments is strictly prohibited. If you are not an intended recipient, please notify the sender immediately by replying to this message or by telephone and delete this e-mail and any attachments permanently from your system. ****************************** ****************************** ****************************** ****************************** ************** DearÂ jose@monkey.org Â Your account information needs to be updatedÂ within 48Hours,Â If this is not done we shall suspend your account. Kindly Â Â CLICK HERE Â to get your mail updated. Regards,The Mail Team.**************************************************************************************************************************************CONFIDENTIALITY NOTICEThis e-mail and any attachment are confidential and may be privileged or otherwise protected from disclosure. It is solely intended for the person(s) named above. If you are not the intended recipient, any reading, use, disclosure, copying or distribution of all or parts of this e-mail or associated attachments is strictly prohibited. If you are not an intended recipient, please notify the sender immediately by replying to this message or by telephone and delete this e-mail and any attachments permanently from your system.**************************************************************************************************************************************",1,phishpuzzer
Incoming Payment Transfer Pending,"USAA SECURITY ZONE USAA # ending in: ****** Dear Usaa Member, This email is to notify you that there is an E-Credit Payment transfer pending on your USAA account. Click Here To Approve Your Payment Reason for this action is to verify the incoming payment between the Sender and the Receiver. Pending payment will be credited into your account within 24/48 hours after your approval. USAA values your business and is committed to keeping your accounts and persinal information safe. To learn how we protect Security Center. Thank you, USAA Â© 2016 USAA. Â Â Â Â USAA SECURITY ZONEUSAA # ending in: ****** Â Â Â Dear Usaa Member, This email is to notify you that there is an E-Credit Payment transferÂ pending on your USAA account. Click Here To Approve YourÂ Payment Reason for this action is to verify the incoming payment between the Sender and the Receiver. Pending payment will be credited into your account within 24/48 hours after your approval. USAA values your business and is committed to keeping your accounts and persinal information safe. To learn how we protect Security Center. Thank you,USAA Â Â Â© 2016 USAA.",1,phishpuzzer
