group_label,feature_a,feature_b,cell_slug,rank,word,log_ratio_score,weighted_group_count,weighted_background_count
LLM-B-TN,Authority,Authority,authority__authority,1,capitalone,8.68631867894867,54.0,0.0
LLM-B-TN,Authority,Authority,authority__authority,2,latency,8.629171156278705,51.0,0.0
LLM-B-TN,Authority,Authority,authority__authority,3,affecting,8.568558786886719,48.0,0.0
LLM-B-TN,Authority,Authority,authority__authority,4,solaris,8.568558786886719,48.0,0.0
LLM-B-TN,Authority,Authority,authority__authority,5,repository,8.526008228511246,46.0,0.0
LLM-B-TN,Authority,Authority,authority__authority,6,analytics,8.481566345166868,44.0,0.0
LLM-B-TN,Authority,Authority,authority__authority,7,metrics,8.458582111139513,43.0,0.0
LLM-B-TN,Authority,Authority,authority__authority,8,integrating,8.386278887213013,40.0,0.0
LLM-B-TN,Authority,Authority,authority__authority,9,endpoints,8.334998747345026,38.0,0.0
LLM-B-TN,Authority,Authority,authority__authority,10,closures,8.280946142004652,36.0,0.0
LLM-B-TN,Authority,Authority,authority__authority,11,capture,8.16319781832564,32.0,0.0
LLM-B-TN,Authority,Authority,authority__authority,12,apis,8.16319781832564,32.0,0.0
LLM-B-TN,Authority,Authority,authority__authority,13,positives,8.131459197456227,31.0,0.0
LLM-B-TN,Authority,Authority,authority__authority,14,integrations,8.098680123796145,30.0,0.0
LLM-B-TN,Authority,Authority,authority__authority,15,audits,8.064790062477181,29.0,0.0
LLM-B-TN,Authority,Liking,authority__liking,1,deployment,10.047862833862347,222.99996,0.0
LLM-B-TN,Authority,Liking,authority__liking,2,jordan,9.071582239099246,84.0,0.0
LLM-B-TN,Authority,Liking,authority__liking,3,metrics,8.958267704388469,74.99999000000001,0.0
LLM-B-TN,Authority,Liking,authority__liking,4,root,8.683872932898929,56.999991000000016,0.0
LLM-B-TN,Authority,Liking,authority__liking,5,roles,8.469504968280198,45.999991,0.0
LLM-B-TN,Authority,Liking,authority__liking,6,configurations,8.447530820419876,44.999988,0.0
LLM-B-TN,Authority,Liking,authority__liking,7,observed,8.378553965884494,41.99999500000001,0.0
LLM-B-TN,Authority,Liking,authority__liking,8,suggestion,8.354462217204969,40.999995000000006,0.0
LLM-B-TN,Authority,Liking,authority__liking,9,dependencies,8.278495235472825,37.999983,0.0
LLM-B-TN,Authority,Liking,authority__liking,10,suite,8.251834356982467,36.999993,0.0
LLM-B-TN,Authority,Liking,authority__liking,11,troubleshoot,8.251834248903544,36.99998899999999,0.0
LLM-B-TN,Authority,Liking,authority__liking,12,interaction,8.22444299407308,35.999997,0.0
LLM-B-TN,Authority,Liking,authority__liking,13,anytown,8.224442910762878,35.999994,0.0
LLM-B-TN,Authority,Liking,authority__liking,14,integrations,8.13745688499989,32.999998,0.0
LLM-B-TN,Authority,Liking,authority__liking,15,optimization,8.137456854706038,32.999997,0.0
LLM-B-TN,Authority,Reciprocity,authority__reciprocity,1,follow-ups,10.123030518159357,136.975219018579,0.0
LLM-B-TN,Authority,Reciprocity,authority__reciprocity,2,incident,10.035914945864555,125.54670100000003,0.0
LLM-B-TN,Authority,Reciprocity,authority__reciprocity,3,leads,9.748231871842727,94.15743143467401,0.0
LLM-B-TN,Authority,Reciprocity,authority__reciprocity,4,metrics,9.684465024508729,88.34011814310102,0.0
LLM-B-TN,Authority,Reciprocity,authority__reciprocity,5,integrating,9.560139662469364,78.01132399999999,0.0
LLM-B-TN,Authority,Reciprocity,authority__reciprocity,6,firebase,9.48270755607416,72.19794399999999,0.0
LLM-B-TN,Authority,Reciprocity,authority__reciprocity,7,jordan,9.459734414190898,70.55801,0.0
LLM-B-TN,Authority,Reciprocity,authority__reciprocity,8,filtering,9.456166328948472,70.30666599999999,0.0
LLM-B-TN,Authority,Reciprocity,authority__reciprocity,9,sap,9.4306362374146,68.534197,0.0
LLM-B-TN,Authority,Reciprocity,authority__reciprocity,10,airtable,9.410199435637598,67.14759,0.0
LLM-B-TN,Authority,Reciprocity,authority__reciprocity,11,roles,9.379192016332826,65.09715999999999,0.0
LLM-B-TN,Authority,Reciprocity,authority__reciprocity,12,stakeholders,9.287859205101098,59.41420985050098,0.0
LLM-B-TN,Authority,Reciprocity,authority__reciprocity,13,hubspot,9.269562655560012,58.336838,0.0
LLM-B-TN,Authority,Reciprocity,authority__reciprocity,14,negotiation,9.165283156191144,52.55895138787001,0.0
LLM-B-TN,Authority,Reciprocity,authority__reciprocity,15,audits,9.12569975204758,50.518739000000004,0.0
LLM-B-TN,Authority,Social Proof,authority__social_proof,1,analytics,10.158134955115727,116.367365,0.0
LLM-B-TN,Authority,Social Proof,authority__social_proof,2,demographic,9.863699776516402,86.68557799999999,0.0
LLM-B-TN,Authority,Social Proof,authority__social_proof,3,breaches,9.646829053934752,69.782891,0.0
LLM-B-TN,Authority,Social Proof,authority__social_proof,4,sap,9.619633667389728,67.91042300000001,0.0
LLM-B-TN,Authority,Social Proof,authority__social_proof,5,overdue,9.619370781118286,67.89257,0.0
LLM-B-TN,Authority,Social Proof,authority__social_proof,6,audits,9.489131381731255,59.60066400000001,0.0
LLM-B-TN,Authority,Social Proof,authority__social_proof,7,vendor,9.471355290346658,58.55038199999999,0.0
LLM-B-TN,Authority,Social Proof,authority__social_proof,8,follow-ups,9.470256162271795,58.48605199999999,0.0
LLM-B-TN,Authority,Social Proof,authority__social_proof,9,stakeholders,9.45338649453602,57.50752,0.0
LLM-B-TN,Authority,Social Proof,authority__social_proof,10,societies,9.43550962374927,56.488423000000004,0.0
LLM-B-TN,Authority,Social Proof,authority__social_proof,11,extraterrestrial,9.421593672927523,55.707639,0.0
LLM-B-TN,Authority,Social Proof,authority__social_proof,12,disruption,9.378922551422141,53.380117,0.0
LLM-B-TN,Authority,Social Proof,authority__social_proof,13,monitor,9.33240315387898,50.953325,0.0
LLM-B-TN,Authority,Social Proof,authority__social_proof,14,narrative,9.331477962969183,50.906195999999994,0.0
LLM-B-TN,Authority,Social Proof,authority__social_proof,15,mentioning,9.305642184524753,49.607584,0.0
LLM-B-TN,Authority,Scarcity,authority__scarcity,1,sap,9.498555812541444,49.801480000000005,0.0
LLM-B-TN,Authority,Scarcity,authority__scarcity,2,outline,9.472039168858938,48.498005000000006,0.0
LLM-B-TN,Authority,Scarcity,authority__scarcity,3,extraterrestrial,9.345536781341407,42.733897999999996,0.0
LLM-B-TN,Authority,Scarcity,authority__scarcity,4,ipsec,9.174794860668923,36.024778,0.0
LLM-B-TN,Authority,Scarcity,authority__scarcity,5,alright,9.105803253832466,33.622502,0.0
LLM-B-TN,Authority,Scarcity,authority__scarcity,6,hmm,9.1039362330243,33.55976799999999,0.0
LLM-B-TN,Authority,Scarcity,authority__scarcity,7,audits,9.092276996707204,33.170643000000005,0.0
LLM-B-TN,Authority,Scarcity,authority__scarcity,8,cipe,9.07354280544102,32.554817,0.0
LLM-B-TN,Authority,Scarcity,authority__scarcity,9,demographic,9.04571388416203,31.661066999999996,0.0
LLM-B-TN,Authority,Scarcity,authority__scarcity,10,airtable,9.030677657284482,31.188415999999997,0.0
LLM-B-TN,Authority,Scarcity,authority__scarcity,11,capacitors,8.980636941320364,29.665642999999996,0.0
LLM-B-TN,Authority,Scarcity,authority__scarcity,12,monitor,8.970614701099507,29.369712,0.0
LLM-B-TN,Authority,Scarcity,authority__scarcity,13,accuracy,8.936506149609862,28.384509999999995,0.0
LLM-B-TN,Authority,Scarcity,authority__scarcity,14,breaches,8.92383311671643,28.026936,0.0
LLM-B-TN,Authority,Scarcity,authority__scarcity,15,chen,8.890260099779336,27.101277000000003,0.0
LLM-B-TN,Authority,Commitment,authority__commitment,1,sap,8.767597392203253,26.418694000000002,0.0
LLM-B-TN,Authority,Commitment,authority__commitment,2,ipsec,8.542155865913973,21.084425000000003,0.0
LLM-B-TN,Authority,Commitment,authority__commitment,3,jordan,8.51714946006138,20.56347,0.0
LLM-B-TN,Authority,Commitment,authority__commitment,4,cipe,8.48046827779027,19.822483999999996,0.0
LLM-B-TN,Authority,Commitment,authority__commitment,5,airtable,8.22738607302157,15.388021,0.0
LLM-B-TN,Authority,Commitment,authority__commitment,6,engagement,8.196168121078362,14.914752,0.0
LLM-B-TN,Authority,Commitment,authority__commitment,7,outline,8.195012929054194,14.89752100000001,0.0
LLM-B-TN,Authority,Commitment,authority__commitment,8,extraterrestrial,8.176128944623569,14.618649,0.0
LLM-B-TN,Authority,Commitment,authority__commitment,9,breaches,8.150939378687362,14.254762,0.0
LLM-B-TN,Authority,Commitment,authority__commitment,10,firebase,8.118984262808613,13.806136,0.0
LLM-B-TN,Authority,Commitment,authority__commitment,11,hubspot,7.859293934361837,10.646253,0.0
LLM-B-TN,Authority,Commitment,authority__commitment,12,chen,7.840277912110645,10.445528,0.0
LLM-B-TN,Authority,Commitment,authority__commitment,13,shaders,7.830742011977067,10.346298999999998,0.0
LLM-B-TN,Authority,Commitment,authority__commitment,14,define,7.806191976356768,10.095147000000006,0.0
LLM-B-TN,Authority,Commitment,authority__commitment,15,vendor,7.780247703366827,9.836348,0.0
LLM-B-TN,Liking,Liking,liking__liking,1,api,9.809398198265523,185.0,0.0
LLM-B-TN,Liking,Liking,liking__liking,2,integration,9.359757687231669,118.0,0.0
LLM-B-TN,Liking,Liking,liking__liking,3,jordan,9.019924159970767,84.0,0.0
LLM-B-TN,Liking,Liking,liking__liking,4,permissions,8.373405201417011,44.0,0.0
LLM-B-TN,Liking,Liking,liking__liking,5,roles,8.278117743463156,40.0,0.0
LLM-B-TN,Liking,Liking,liking__liking,6,compatibility,8.252806344112578,39.0,0.0
LLM-B-TN,Liking,Liking,liking__liking,7,securityshield,8.055036674575783,32.0,0.0
LLM-B-TN,Liking,Liking,liking__liking,8,configurations,8.02329805370637,31.0,0.0
LLM-B-TN,Liking,Liking,liking__liking,9,integrating,8.02329805370637,31.0,0.0
LLM-B-TN,Liking,Liking,liking__liking,10,repository,8.02329805370637,31.0,0.0
LLM-B-TN,Liking,Liking,liking__liking,11,troubleshoot,7.885195488398535,27.0,0.0
LLM-B-TN,Liking,Liking,liking__liking,12,production,7.885195488398535,27.0,0.0
LLM-B-TN,Liking,Liking,liking__liking,13,robust,7.7249172246412865,23.0,0.0
LLM-B-TN,Liking,Liking,liking__liking,14,marigold,7.680485216132382,22.0,0.0
