row_number,source_path,source_row_number,dataset_name,subject,label,data_source,content_length,overall_is_valid,invalid_scanner_count,flagged_scanners,malicious_urls_is_valid,malicious_urls_risk_score,ban_substrings_is_valid,ban_substrings_risk_score,sensitive_is_valid,sensitive_risk_score
1,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/llm_guard_001301_001400/chunk_input.csv,1,llm_guard_001301_001400_chunk_input,Inquiry on System Specifications,0,tobiasbuek,494,True,0,,True,-1.0,True,-1.0,True,-1.0
2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/llm_guard_001301_001400/chunk_input.csv,2,llm_guard_001301_001400_chunk_input,New email address added to your account!,1,phishyai-phishing,473,True,0,,True,-1.0,True,-1.0,True,-1.0
3,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/llm_guard_001301_001400/chunk_input.csv,3,llm_guard_001301_001400_chunk_input,Support Request for Antivirus Software Update on Lenovo ThinkPad X1 Carbon,0,tobiasbuek,432,True,0,,True,-1.0,True,-1.0,True,-1.0
4,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/llm_guard_001301_001400/chunk_input.csv,4,llm_guard_001301_001400_chunk_input,Important Security Update: monkey.org Confirm Password Now 2/10/2025 5:32:37 a.m.,1,nazario,474,False,1,sensitive,True,-1.0,True,-1.0,False,1.0
5,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/llm_guard_001301_001400/chunk_input.csv,5,llm_guard_001301_001400_chunk_input,Pipeline Update - February 13,0,uberjugaad,230,False,1,sensitive,True,-1.0,True,-1.0,False,1.0
6,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/llm_guard_001301_001400/chunk_input.csv,6,llm_guard_001301_001400_chunk_input,Approval needed: Special pricing,0,uberjugaad,180,False,1,sensitive,True,-1.0,True,-1.0,False,1.0
7,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/llm_guard_001301_001400/chunk_input.csv,7,llm_guard_001301_001400_chunk_input,Revise Digital Marketing Techniques,0,tobiasbuek,610,True,0,,True,-1.0,True,-1.0,True,-1.0
8,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/llm_guard_001301_001400/chunk_input.csv,8,llm_guard_001301_001400_chunk_input,�������������Kom nu in contact met een TG��������,1,phishing_pot,7130,False,1,sensitive,True,-0.7,True,-1.0,False,1.0
9,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/llm_guard_001301_001400/chunk_input.csv,9,llm_guard_001301_001400_chunk_input,����Neem contact op met singles bij jou in de buurt!,1,phishing_pot,12054,False,1,malicious_urls,False,0.3,True,-1.0,True,-1.0
10,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/llm_guard_001301_001400/chunk_input.csv,10,llm_guard_001301_001400_chunk_input,Overdue: Customer 519086988 - 22 days,0,uberjugaad,223,False,1,sensitive,True,-1.0,True,-1.0,False,0.9
11,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/llm_guard_001301_001400/chunk_input.csv,11,llm_guard_001301_001400_chunk_input,Re: URGENT: Production Environment Down - Cloud Management,0,rtweera,541,False,1,sensitive,True,-1.0,True,-1.0,False,1.0
12,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/llm_guard_001301_001400/chunk_input.csv,12,llm_guard_001301_001400_chunk_input,Re: Urgent: Mercury code deployment failing on Aetheros Cloud,0,rtweera,419,False,1,sensitive,True,-1.0,True,-1.0,False,1.0
13,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/llm_guard_001301_001400/chunk_input.csv,13,llm_guard_001301_001400_chunk_input,Request for Smartsheet Integration Details,0,tobiasbuek,727,True,0,,True,-1.0,True,-1.0,True,-1.0
14,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/llm_guard_001301_001400/chunk_input.csv,14,llm_guard_001301_001400_chunk_input,Pipeline Update - February 12,0,uberjugaad,226,False,1,sensitive,True,-1.0,True,-1.0,False,1.0
15,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/llm_guard_001301_001400/chunk_input.csv,15,llm_guard_001301_001400_chunk_input,Approval needed: Volume discount,0,uberjugaad,179,False,1,sensitive,True,-1.0,True,-1.0,False,1.0
16,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-uta-gd_detector_suite_d2ad4qbx/llm_guard_001301_001400/chunk_input.csv,16,llm_guard_001301_001400_chunk_input,Employment Research,1,cornell-phish-bowl,374,True,0,,True,-1.0,True,-1.0,True,-1.0
