row_number,source_path,source_row_number,dataset_name,subject,label,data_source,content_length,spamassassin_prediction,spamassassin_status_header,spamassassin_flag_header,spamassassin_score,spamassassin_required_score,spamassassin_tests,spamassassin_error
1,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s1-gd_detector_suite_h0_hp1wo/spamassassin_000001_000100/chunk_input.csv,1,spamassassin_000001_000100_chunk_input,Strategies for Expanding Digital Brand Influence and Innovating Products,0,tobiasbuek,242,,,,,,,"Timeout::_run: check: no loaded plugin implements 'check_main': cannot scan!
Check that the necessary '.pre' files are in the config directory.
At a minimum, v320.pre loads the Check plugin which is required. at /home/che489/perl5/bin/spamassassin line 431."
2,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s1-gd_detector_suite_h0_hp1wo/spamassassin_000001_000100/chunk_input.csv,2,spamassassin_000001_000100_chunk_input,Data Synchronization Problem Noted,0,tobiasbuek,471,,,,,,,"Timeout::_run: check: no loaded plugin implements 'check_main': cannot scan!
Check that the necessary '.pre' files are in the config directory.
At a minimum, v320.pre loads the Check plugin which is required. at /home/che489/perl5/bin/spamassassin line 431."
3,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s1-gd_detector_suite_h0_hp1wo/spamassassin_000001_000100/chunk_input.csv,3,spamassassin_000001_000100_chunk_input,Re: Mercury Deployment Issue on AWS,0,rtweera,558,,,,,,,"Timeout::_run: check: no loaded plugin implements 'check_main': cannot scan!
Check that the necessary '.pre' files are in the config directory.
At a minimum, v320.pre loads the Check plugin which is required. at /home/che489/perl5/bin/spamassassin line 431."
4,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s1-gd_detector_suite_h0_hp1wo/spamassassin_000001_000100/chunk_input.csv,4,spamassassin_000001_000100_chunk_input,Request for Guidance on Integrating DocuSign and JIRA Software,0,tobiasbuek,650,,,,,,,"Timeout::_run: check: no loaded plugin implements 'check_main': cannot scan!
Check that the necessary '.pre' files are in the config directory.
At a minimum, v320.pre loads the Check plugin which is required. at /home/che489/perl5/bin/spamassassin line 431."
5,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s1-gd_detector_suite_h0_hp1wo/spamassassin_000001_000100/chunk_input.csv,5,spamassassin_000001_000100_chunk_input,Incident of Data Breach Stemmed from Encryption Shortfall,0,tobiasbuek,125,,,,,,,"Timeout::_run: check: no loaded plugin implements 'check_main': cannot scan!
Check that the necessary '.pre' files are in the config directory.
At a minimum, v320.pre loads the Check plugin which is required. at /home/che489/perl5/bin/spamassassin line 431."
6,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s1-gd_detector_suite_h0_hp1wo/spamassassin_000001_000100/chunk_input.csv,6,spamassassin_000001_000100_chunk_input,Scalability Solutions for Large Teams,0,tobiasbuek,285,,,,,,,"Timeout::_run: check: no loaded plugin implements 'check_main': cannot scan!
Check that the necessary '.pre' files are in the config directory.
At a minimum, v320.pre loads the Check plugin which is required. at /home/che489/perl5/bin/spamassassin line 431."
7,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s1-gd_detector_suite_h0_hp1wo/spamassassin_000001_000100/chunk_input.csv,7,spamassassin_000001_000100_chunk_input,Unlock exclusive benefits for just $2.50/week,1,phishpuzzer,1606,,,,,,,"Timeout::_run: check: no loaded plugin implements 'check_main': cannot scan!
Check that the necessary '.pre' files are in the config directory.
At a minimum, v320.pre loads the Check plugin which is required. at /home/che489/perl5/bin/spamassassin line 431."
8,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s1-gd_detector_suite_h0_hp1wo/spamassassin_000001_000100/chunk_input.csv,8,spamassassin_000001_000100_chunk_input,Ultra Air Heater,1,phishing_pot,2191,,,,,,,"Timeout::_run: check: no loaded plugin implements 'check_main': cannot scan!
Check that the necessary '.pre' files are in the config directory.
At a minimum, v320.pre loads the Check plugin which is required. at /home/che489/perl5/bin/spamassassin line 431."
9,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s1-gd_detector_suite_h0_hp1wo/spamassassin_000001_000100/chunk_input.csv,9,spamassassin_000001_000100_chunk_input,"[Spambayes-checkins] spambayes/spambayes WebAppPlugin.py, NONE, 1.1.2.1",0,phishpuzzer,605,,,,,,,"Timeout::_run: check: no loaded plugin implements 'check_main': cannot scan!
Check that the necessary '.pre' files are in the config directory.
At a minimum, v320.pre loads the Check plugin which is required. at /home/che489/perl5/bin/spamassassin line 431."
10,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/Industry/email_detectors/output/logs/tmp/s1-gd_detector_suite_h0_hp1wo/spamassassin_000001_000100/chunk_input.csv,10,spamassassin_000001_000100_chunk_input,Account Locked - identification required,1,phishpuzzer,2322,,,,,,,"Timeout::_run: check: no loaded plugin implements 'check_main': cannot scan!
Check that the necessary '.pre' files are in the config directory.
At a minimum, v320.pre loads the Check plugin which is required. at /home/che489/perl5/bin/spamassassin line 431."
