row_number,source_kind,source_path,source_row_number,subject,AI Verdict,AI Confidence,AI Phishing Score (0-10),AI Identified Brands,Key Suspicious Elements Cited by AI,AI Explanation,official_status,official_error,official_returncode
1,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_002161_002180/chunk_input.csv,1,RE: Helpdesk Information,MALICIOUS,90.0,8,,SPF check failed for domain None | DKIM check failed for domain None | Missing standard 'Date' header | Missing standard 'Message-ID' header | Urgency in body text | Suspicious link prompting account validation,"The email exhibits multiple phishing indicators: failed SPF and DKIM authentication, missing standard headers ('Date' and 'Message-ID'), urgent language threatening account suspension, and a suspicious link prompting account validation. The lack of authentication checks and the presence of urgency and a validation link strongly suggest a phishing attempt.",Analysis completed successfully,,0
2,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_002161_002180/chunk_input.csv,2,Verification,MALICIOUS,95.0,8,Zimbra,Urgency in body text | Mismatch From domain (example.com) vs. mentioned brand (Zimbra) | Link domain VT Error (potential obfuscation or malicious intent) | Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF check failed for domain example.com | DKIM check failed for domain example.com,"The email exhibits multiple phishing indicators: urgency in the body text ('you have only 12 hours'), mismatched domain (sender@example.com vs. Zimbra brand), and a suspicious link (VT Error suggests potential obfuscation or malicious intent). Additionally, the email lacks standard headers ('Date', 'Message-ID') and fails SPF and DKIM authentication checks, further raising suspicion.",Analysis completed successfully,,0
3,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_002161_002180/chunk_input.csv,3,Your mailbox size notification,SUSPICIOUS,75.0,6,,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF check failed | DKIM check failed | Urgency in body text,"The email lacks standard headers ('Date' and 'Message-ID'), which is unusual and raises suspicion. The SPF and DKIM checks failed, indicating potential email spoofing. The body contains urgent language pressuring the recipient to act quickly, a common phishing tactic. However, no malicious links or attachments were found, and the DMARC policy is set to reject, which adds some credibility.",Analysis completed successfully,,0
4,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_002161_002180/chunk_input.csv,4,Share your research knowledge with us,CLEAN,80.0,2,Annals of Case Reports,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF check not found | DKIM check not found,"The email lacks standard headers like 'Date' and 'Message-ID', and SPF/DKIM authentication checks were not found, which raises minor concerns. However, the DMARC policy is set to 'reject' for the domain, which adds some credibility. The body content appears professional and does not exhibit urgency, poor grammar, or suspicious requests. No attachments or links were found, reducing the risk of malicious content. Overall, the email seems legitimate but warrants caution due to missing authentication details.",Analysis completed successfully,,0
5,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_002161_002180/chunk_input.csv,5,Discover the Future of Comfort and Support with Our Insoles,CLEAN,90.0,1,Akusoli,SPF check not found | DKIM check not found | Missing 'Date' header | Missing 'Message-ID' header,"The email appears to be a promotional message for a product (Akusoli Acupressure Insoles) without any overt phishing indicators. While SPF and DKIM checks are missing, the DMARC policy is correctly configured. No suspicious links, attachments, or urgent language were found. The absence of standard headers like 'Date' and 'Message-ID' is unusual but not inherently malicious.",Analysis completed successfully,,0
6,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_002161_002180/chunk_input.csv,6,Bonsai for hotel or office buildings,CLEAN,90.0,1,,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF check not found | DKIM check not found,"The email appears to be a legitimate business inquiry with no overt signs of phishing. The body content is coherent and relevant to the subject, discussing artificial plants and flowers. No suspicious links or attachments were found. While SPF and DKIM checks were not found, the DMARC policy is set to reject, which is a good security practice. The absence of 'Date' and 'Message-ID' headers is unusual but not indicative of phishing.",Analysis completed successfully,,0
7,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_002161_002180/chunk_input.csv,7,Sandisk 4GB Titanium $19.99 . 2GB 150x SD $4 . 4GB MicroSD $19,SUSPICIOUS,85.0,7,chase.com | microsoft.com,"Mismatch From/Reply-To domains | Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF check failed for domain example.com | DKIM check failed for domain example.com | Link domain click.ecostemail.com differs from mentioned brands chase.com, microsoft.com","The email contains multiple suspicious elements, including mismatched domains between mentioned brands (chase.com, microsoft.com) and the links provided (click.ecostemail.com). Additionally, the email lacks standard headers such as 'Date' and 'Message-ID', and authentication checks (SPF, DKIM) are not found. The presence of numerous URLs with no VirusTotal analysis due to API key issues further raises concerns.",Analysis completed successfully,,0
8,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_002161_002180/chunk_input.csv,8,Meta Fined $1.3 Billion,CLEAN,85.0,2,Forbes | Meta | Facebook,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF check not found | DKIM check not found,"The email appears to be a legitimate newsletter from Forbes, discussing Meta's fine. No suspicious links or attachments were found. The email lacks standard headers like 'Date' and 'Message-ID', but this alone does not indicate phishing. The SPF and DKIM checks were not found, but DMARC policy is set to reject, which is a positive sign. The content is coherent and does not exhibit urgency or poor grammar.",Analysis completed successfully,,0
9,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_002161_002180/chunk_input.csv,9,MT BLUE LADY AGENCY APPOINTMENT // PDA REQUEST,CLEAN,80.0,2,,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF check not found | DKIM check not found,"The email lacks standard headers like 'Date' and 'Message-ID', and authentication checks (SPF, DKIM) are not found, which is unusual but not definitively malicious. The body contains only an image reference with no text or links, and no attachments are present. While the email appears suspicious due to missing headers and authentication, there is no direct evidence of phishing, such as malicious links, impersonation, or urgent language.",Analysis completed successfully,,0
10,csv,/scratch3/che489/FC-W2-SoK/ssc_LLM_phishing_survey/Detectors/output/logs/tmp/s6-fuzzer_detector_suite_5xe1zt0h/email_phishing_detection_v3_002161_002180/chunk_input.csv,10,"Welcome to Extrabux, REDACTED+extrabux@gmail.com",SUSPICIOUS,75.0,6,Extrabux,Missing standard 'Date' header | Missing standard 'Message-ID' header | SPF check failed for domain example.com | DKIM check failed for domain example.com | Verification link in body text,"The email lacks standard headers ('Date' and 'Message-ID'), which is unusual and raises suspicion. The SPF and DKIM checks failed, indicating potential email spoofing. The body contains a verification link, which is common in phishing attempts to steal credentials. However, no malicious attachments or typosquatting domains were detected. The email impersonates 'Extrabux,' a known cashback service, which is a common target for phishing.",Analysis completed successfully,,0
