group,detector,hw_recall_median,hw_recall_iqr,llm_recall_median,llm_recall_iqr,delta_recall_median,delta_recall_iqr,hw_f2_median,hw_f2_iqr,llm_f2_median,llm_f2_iqr,delta_f2_median,delta_f2_iqr,hw_mcc_median,hw_mcc_iqr,llm_mcc_median,llm_mcc_iqr,delta_mcc_median,delta_mcc_iqr
Academic,ml_watermark_logreg,0.8613609347561799,0.011933110860370633,0.8821874999999999,0.12238073528749605,0.023437499999999944,0.12570296951686247,0.7514217398958309,0.015419436755869431,0.7828132031758392,0.04660267965127762,0.035365822913940415,0.07776532709727957,-0.031046548694386847,0.017525589196634772,0.08668172562872595,0.31228985320962294,0.11468988893751345,0.28790783530466746
Academic,pimref,0.040558148116608406,0.005889200173811303,0.019536108324974898,0.03241717743932643,-0.020624999999999998,0.028168709198422424,0.0500649611794344,0.007227248405590678,0.024287658202517798,0.040018722701819,-0.0252507716079994,0.03455035359427872,0.08506642220338245,0.016474273116285285,0.0921098150017666,0.060834501658819234,-0.008843249120602498,0.06466887717936926
Academic,scamllm,0.8747964169381108,0.0046057580402509846,0.8008541666666666,0.13770994517643853,-0.0733125,0.13715449758366016,0.8537511848652397,0.00920404035063993,0.7711678199363825,0.07157186201518662,-0.07245569673139957,0.07727395607402793,0.6308945933491432,0.02493070942858122,0.4627108377907815,0.18996478377556475,-0.12700791606633505,0.18332135415613648
Academic,securenet_llama,0.8299496594610601,0.016881548126064683,0.6828360447029745,0.2997123410280905,-0.15286455154915496,0.28542419534102936,0.8525032020034177,0.017182145776662994,0.7185758616055675,0.12534288598114673,-0.12986685441471507,0.10756356853719509,0.7800713873263374,0.023947390602436114,0.6273861792403725,0.300812774277464,-0.13294380108942072,0.27799138318359273
Academic,t5phishing,1.0,0.0,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Academic,xgboost,0.6487083333333333,0.009676064280320418,0.6372305938547529,0.18231175352877305,-0.0027461427697738627,0.1818723873507057,0.6590856390199973,0.007880370309543583,0.6549204136212663,0.15608477422266542,-0.013818724890286904,0.17585857952941264,0.34361591797034674,0.03649997017278345,0.2277440502594262,0.16331462453857792,-0.12329560986100264,0.2160327043791096
Academic,Academic median,0.84565529710862,0.00778263222706586,0.7418451056848205,0.1300453402319673,-0.01168557138488693,0.1314287335502613,0.7923775366145822,0.008542205330091757,0.744871840770975,0.05908727083323212,-0.01953474824914315,0.07751964158565375,0.2143411700868646,0.020736489899535443,0.1599269326305964,0.17663970415707134,-0.06606942949080258,0.19967702926762304
Academic,Academic IQR,0.17741888152736296,0.006442230641717015,0.2132222100998583,0.11625323453932059,0.05945408930755654,0.1181406406309119,0.1655410705969409,0.006475058772983152,0.10906758174863351,0.07023541805047305,0.0571997842279778,0.05488275396300019,0.5378083189535985,0.007947777585672288,0.3159303929359566,0.18664624427323026,0.12386902723485133,0.16816971705891093
Industrial,email_phishing_detection_v3,,,0.8947368421052632,0.16312216566083082,,,,,0.7179054054054054,0.13615314288886027,,,,,0.4535570679222547,0.19156565296557604,,
Industrial,llm_guard,0.4194454675125606,0.01831920455866448,0.5324612264677189,0.3240606998883797,-0.03203437269508211,0.15072197748660193,0.4464480203406451,0.013163170941744629,0.5067970366475545,0.24940317596456185,-0.039038131274438004,0.10805002438594818,0.0639094325442635,0.018015184755450053,-0.01066513134516585,0.34185090949028224,-0.17026048315469677,0.3140994763027244
Industrial,oopspam,,,,,,,,,,,,,,,,,,
Industrial,phishing_email_agent,0.21882647943831496,0.0057430102808425365,0.3360523683008312,0.1379604977433364,0.11660088886251624,0.10284353083685652,0.2565602262992238,0.006669103450594738,0.3683390224954411,0.14770590956947205,0.1117787961962173,0.10941505824039886,0.23480077692618573,0.029571713738596933,0.3118457488430161,0.11754509352044662,-0.0014456013499026948,0.10038288541438709
Industrial,pyrit_blocklist,,,0.1624874623871615,0.128,,,,,0.1919886228964209,0.14551033919674516,,,,,0.1486716887002809,0.068812213425438,,
Industrial,pyrit_original,,,,,,,,,,,,,,,,,,
Industrial,spamassassin,0.4148203622043459,0.015977401963241766,0.1902681401524886,0.20592237336079566,-0.22512839820969172,0.20229620413360344,0.46768123879961887,0.016584987607660195,0.2266419037511735,0.1753708964646465,-0.24227212867621484,0.17512745359825277,0.4664943584675889,0.0414592543879706,0.2388027729668889,0.09688336270956488,-0.28383205276756684,0.13535766806276625
Industrial,Industrial median,0.4148203622043459,0.015977401963241766,0.3360523683008312,0.16312216566083082,-0.03203437269508211,0.15072197748660193,0.4464480203406451,0.013163170941744629,0.3683390224954411,0.14770590956947205,-0.039038131274438004,0.10941505824039886,0.23480077692618573,0.029571713738596933,0.2388027729668889,0.11754509352044662,-0.17026048315469677,0.13535766806276625
Industrial,Industrial IQR,0.10030949403712286,0.0062880971389109724,0.34219308631523027,0.06796187561745926,0.17086464353610398,0.04972633664837345,0.10556050625019753,0.004957942078532729,0.280155132896381,0.029860557267901322,0.17702546243621609,0.03353871460615229,0.2012924629616627,0.011722034816260274,0.16317406014273517,0.09468229025601116,0.14119322570883208,0.10685829544416867
